model_version,dataset,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_samples
yolov8m-cls,madeira_completo,0.994213,0.994376,0.994213,0.994199,0.994376,0.994213,0.994199,864
yolov8m-cls,madeira_completo_dureza,0.997685,0.997732,0.997685,0.997685,0.997732,0.997685,0.997685,864
yolov8m-cls,madeira_tangencial,0.996528,0.996599,0.996528,0.996515,0.996599,0.996528,0.996515,864
yolov8m-cls,madeira_tangencial_dureza,0.994213,0.994307,0.994213,0.994212,0.994307,0.994213,0.994212,864
yolov8m-cls,madeira_transversal,0.993056,0.993149,0.993056,0.993030,0.993149,0.993056,0.993030,864
yolov8m-cls,madeira_transversal_dureza,0.994213,0.994283,0.994213,0.994200,0.994283,0.994213,0.994200,864
yolo11m-cls,madeira_completo,0.988426,0.989268,0.988426,0.988398,0.989268,0.988426,0.988398,864
yolo11m-cls,madeira_completo_dureza,0.993056,0.993264,0.993056,0.993041,0.993264,0.993056,0.993041,864
yolo11m-cls,madeira_tangencial,0.990741,0.991063,0.990741,0.990762,0.991063,0.990741,0.990762,864
yolo11m-cls,madeira_tangencial_dureza,0.989583,0.989861,0.989583,0.989567,0.989861,0.989583,0.989567,864
yolo11m-cls,madeira_transversal,0.987269,0.987604,0.987269,0.987238,0.987604,0.987269,0.987238,864
yolo11m-cls,madeira_transversal_dureza,0.986111,0.986309,0.986111,0.986006,0.986309,0.986111,0.986006,864
