,Angelim-vermelho,Castanha-de-Macaco,Catingueira,Cedro,Cerejeira,Cupiuba,Garapa,Imbuia,Jacareúba,Jatobá,Maçaranduba,Mogno,Muiracatiara,Pariri,Roxinho,Sucupira-preta,Tauari,Timbaúva
Angelim-vermelho,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castanha-de-Macaco,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catingueira,0,0,46,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cedro,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerejeira,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupiuba,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1
Garapa,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0
Imbuia,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
Jacareúba,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Jatobá,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
Maçaranduba,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
Mogno,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
Muiracatiara,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
Pariri,0,0,0,1,0,1,0,0,0,0,0,0,0,46,0,0,0,0
Roxinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0
Sucupira-preta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
Tauari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0
Timbaúva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
