epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,3.378906,2.933594,0.101852,0.042637,0.101852,0.055000
2,2.858724,2.644531,0.212963,0.260274,0.212963,0.187623
3,2.298503,2.136719,0.495370,0.568321,0.495370,0.461880
4,1.932943,1.580078,0.726852,0.793303,0.726852,0.723543
5,1.613078,1.018555,0.814815,0.861304,0.814815,0.815375
6,1.086751,0.529297,0.898148,0.916829,0.898148,0.893945
7,1.017151,0.300293,0.930556,0.944729,0.930556,0.926556
8,0.863932,0.119690,0.972222,0.974257,0.972222,0.971922
9,1.166209,0.064697,0.976852,0.979243,0.976852,0.977176
10,0.630168,0.041687,0.990741,0.991453,0.990741,0.990725
11,0.498906,0.293945,0.930556,0.959402,0.930556,0.926769
12,0.238823,0.086426,0.967593,0.969414,0.967593,0.966855
13,0.252763,0.107666,0.972222,0.977564,0.972222,0.972217
14,0.057785,0.137573,0.930556,0.944777,0.930556,0.931300
15,0.435625,0.055084,0.981481,0.983516,0.981481,0.981401
16,0.312133,0.071411,0.981481,0.984615,0.981481,0.981943
17,0.437170,0.148438,0.953704,0.969231,0.953704,0.956383
18,1.696222,0.136597,0.967593,0.973901,0.967593,0.967750
19,0.830269,0.097351,0.958333,0.961948,0.958333,0.957637
20,0.262449,0.371826,0.907407,0.946991,0.907407,0.912205
21,1.618395,0.143433,0.962963,0.970840,0.962963,0.963521
22,0.294036,0.450439,0.884259,0.912061,0.884259,0.877370
23,0.726161,0.226074,0.921296,0.944416,0.921296,0.924400
24,0.649806,0.314453,0.884259,0.908180,0.884259,0.879512
25,0.083740,0.179565,0.949074,0.960539,0.949074,0.949963
26,0.290684,0.079834,0.972222,0.974868,0.972222,0.972312
27,0.330008,0.070923,0.976852,0.979853,0.976852,0.977153
28,0.416030,0.145264,0.962963,0.967776,0.962963,0.961029
29,0.310660,0.511230,0.907407,0.947361,0.907407,0.904446
30,0.712727,0.094421,0.967593,0.970950,0.967593,0.966437
31,0.525377,0.085571,0.972222,0.979387,0.972222,0.972797
32,2.668734,0.319092,0.907407,0.929972,0.907407,0.906250
33,0.273162,0.166748,0.944444,0.951648,0.944444,0.943682
34,0.144032,0.128906,0.981481,0.983160,0.981481,0.981409
35,0.565886,0.139648,0.976852,0.979243,0.976852,0.976956
36,1.406781,0.039368,0.990741,0.991453,0.990741,0.990725
37,0.133440,0.024628,0.995370,0.995726,0.995370,0.995362
38,1.349630,0.050812,0.986111,0.986823,0.986111,0.985875
39,2.088566,0.077698,0.981481,0.983516,0.981481,0.980930
40,0.029661,0.012650,1.000000,1.000000,1.000000,1.000000
41,1.721678,0.011963,0.995370,0.995726,0.995370,0.995362
42,0.054026,0.084106,0.972222,0.975580,0.972222,0.971067
43,0.916746,0.027512,0.990741,0.991453,0.990741,0.990505
44,0.413674,0.067566,0.981481,0.983160,0.981481,0.980938
45,1.092922,0.037415,0.986111,0.987179,0.986111,0.986280
46,0.367505,0.057678,0.981481,0.983516,0.981481,0.981181
47,1.000740,0.099792,0.967593,0.972009,0.967593,0.967637
48,0.807061,0.145996,0.953704,0.958825,0.953704,0.952972
49,1.612231,0.135010,0.958333,0.967528,0.958333,0.959388
50,0.090115,0.144409,0.962963,0.969350,0.962963,0.964254
51,0.225128,0.071350,0.981481,0.982804,0.981481,0.981636
52,0.525319,0.065125,0.986111,0.988889,0.986111,0.986361
53,0.087738,0.049683,0.990741,0.992063,0.990741,0.990676
54,0.863968,0.023911,0.986111,0.987790,0.986111,0.986038
55,0.007762,0.019943,0.990741,0.991453,0.990741,0.990725
56,0.394737,0.007782,1.000000,1.000000,1.000000,1.000000
57,0.252711,0.013161,1.000000,1.000000,1.000000,1.000000
58,1.300649,0.037537,0.990741,0.992063,0.990741,0.990896
59,1.117910,0.095825,0.976852,0.979565,0.976852,0.976893
60,1.045479,0.135864,0.962963,0.965461,0.962963,0.960506
61,0.149228,0.119446,0.953704,0.959585,0.953704,0.948101
62,0.005184,0.056183,0.976852,0.979853,0.976852,0.976463
63,0.014000,0.028915,0.986111,0.987179,0.986111,0.985867
64,0.800159,0.029388,0.986111,0.986823,0.986111,0.985875
65,1.195112,0.013077,1.000000,1.000000,1.000000,1.000000
66,0.064408,0.011223,1.000000,1.000000,1.000000,1.000000
67,0.382706,0.018250,0.995370,0.995726,0.995370,0.995362
68,0.244061,0.075012,0.976852,0.979060,0.976852,0.976453
69,0.202911,0.089539,0.972222,0.975902,0.972222,0.972206
70,0.189576,0.023697,0.990741,0.991453,0.990741,0.990505
71,0.627235,0.031860,0.990741,0.991453,0.990741,0.990505
72,0.075271,0.027756,0.995370,0.995726,0.995370,0.995362
73,2.352142,0.010643,0.995370,0.995726,0.995370,0.995362
74,0.106883,0.006878,0.995370,0.995726,0.995370,0.995362
75,0.256898,0.024612,0.990741,0.991453,0.990741,0.990725
76,0.160101,0.103760,0.981481,0.983516,0.981481,0.980930
77,1.311349,0.094727,0.972222,0.976679,0.972222,0.971929
78,0.679473,0.066284,0.981481,0.984615,0.981481,0.981724
79,0.435669,0.290039,0.949074,0.964148,0.949074,0.946303
80,0.045149,0.109314,0.976852,0.979853,0.976852,0.976934
81,1.106470,0.070251,0.986111,0.987790,0.986111,0.986258
82,0.901001,0.036560,0.995370,0.995726,0.995370,0.995362
83,0.582170,0.033203,0.995370,0.995726,0.995370,0.995362
84,0.058464,0.149048,0.939815,0.946413,0.939815,0.937543
85,0.820216,0.160156,0.949074,0.954350,0.949074,0.947338
86,0.096843,0.233521,0.944444,0.958969,0.944444,0.945090
87,1.088840,0.146118,0.972222,0.976282,0.972222,0.972494
88,0.603893,0.078247,0.981481,0.982129,0.981481,0.981036
89,0.175448,0.105286,0.972222,0.974613,0.972222,0.972133
90,1.281796,0.105896,0.972222,0.974613,0.972222,0.972133
90,1.281796,0.105896,0.972222,0.974613,0.972222,0.972133
