epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,3.386068,2.955078,0.101852,0.032422,0.101852,0.048349
2,2.935547,2.587891,0.254630,0.300318,0.254630,0.210380
3,2.464193,2.107422,0.550926,0.636209,0.550926,0.519968
4,2.010417,1.565430,0.703704,0.754039,0.703704,0.685035
5,1.684835,0.995605,0.819444,0.868037,0.819444,0.816198
6,0.970652,0.578125,0.875000,0.907700,0.875000,0.870654
7,0.933604,0.317139,0.921296,0.935910,0.921296,0.918733
8,0.803701,0.111084,0.972222,0.974613,0.972222,0.972353
9,1.388489,0.057983,0.976852,0.978632,0.976852,0.976592
10,0.526082,0.045654,0.990741,0.991453,0.990741,0.990725
11,0.950531,0.066040,0.981481,0.986111,0.981481,0.982182
12,0.263227,0.062927,0.990741,0.991453,0.990741,0.990725
13,0.457647,0.099548,0.967593,0.971018,0.967593,0.967147
14,0.257185,0.099304,0.967593,0.969414,0.967593,0.966385
15,0.561779,0.127075,0.958333,0.963716,0.958333,0.958540
16,0.555949,0.118591,0.967593,0.971306,0.967593,0.966968
17,0.582469,0.060242,0.976852,0.977920,0.976852,0.976608
18,2.533998,0.051544,0.986111,0.987179,0.986111,0.985867
19,0.792684,0.095764,0.967593,0.971795,0.967593,0.967120
20,0.803319,0.262939,0.912037,0.940826,0.912037,0.906329
21,1.312256,0.192505,0.958333,0.968305,0.958333,0.958891
22,0.140924,0.132690,0.972222,0.977564,0.972222,0.972436
23,0.591439,0.081177,0.981481,0.983516,0.981481,0.980930
24,0.119084,0.066467,0.972222,0.974359,0.972222,0.971677
25,0.113732,0.059326,0.986111,0.987179,0.986111,0.985867
26,0.871181,0.067078,0.995370,0.995726,0.995370,0.995362
27,0.702773,0.027756,0.995370,0.995726,0.995370,0.995362
28,0.346538,0.054108,0.981481,0.984127,0.981481,0.981572
29,0.433158,0.264893,0.939815,0.956841,0.939815,0.941554
30,0.165461,0.097717,0.986111,0.986823,0.986111,0.985875
31,1.529155,0.046967,0.986111,0.986823,0.986111,0.986095
32,2.014701,0.052551,0.986111,0.987790,0.986111,0.986038
33,0.435446,0.112732,0.981481,0.983516,0.981481,0.981401
34,0.637716,0.107971,0.972222,0.976679,0.972222,0.972149
35,0.529348,0.246826,0.944444,0.959030,0.944444,0.941741
36,0.870580,0.252686,0.953704,0.967322,0.953704,0.952779
37,0.770168,0.099182,0.962963,0.966982,0.962963,0.961944
38,0.391478,0.096497,0.967593,0.971306,0.967593,0.966209
39,0.117580,0.036377,0.990741,0.991453,0.990741,0.990505
40,0.009049,0.024414,0.995370,0.995726,0.995370,0.995362
41,0.604401,0.007561,1.000000,1.000000,1.000000,1.000000
42,0.176597,0.017654,0.995370,0.995726,0.995370,0.995362
43,0.079867,0.037170,0.990741,0.992063,0.990741,0.990896
