epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,2.916016,2.970703,0.074074,0.055721,0.074074,0.044233
2,2.618164,2.650391,0.194444,0.130406,0.194444,0.138610
3,2.391113,2.173828,0.393519,0.430656,0.393519,0.344426
4,2.288005,1.576172,0.629630,0.762358,0.629630,0.635749
5,2.060384,1.019531,0.750000,0.816002,0.750000,0.750127
6,1.225016,0.495850,0.870370,0.891579,0.870370,0.869303
7,1.654541,0.237671,0.935185,0.941565,0.935185,0.934399
8,1.156494,0.161499,0.953704,0.959096,0.953704,0.953007
9,2.124837,0.242676,0.944444,0.953887,0.944444,0.943834
10,0.953573,0.107422,0.949074,0.956451,0.949074,0.948228
11,2.071096,0.038971,0.986111,0.987179,0.986111,0.985867
12,0.674754,0.085510,0.976852,0.979243,0.976852,0.976763
13,0.837443,0.093872,0.976852,0.978887,0.976852,0.976771
14,0.906993,0.074768,0.972222,0.977564,0.972222,0.972687
15,0.663798,0.091919,0.967593,0.970529,0.967593,0.967246
16,1.527425,0.335693,0.912037,0.951038,0.912037,0.909778
17,0.952286,0.229614,0.930556,0.942593,0.930556,0.930745
18,1.333654,0.259033,0.916667,0.933611,0.916667,0.916018
19,1.275965,0.178711,0.958333,0.966820,0.958333,0.955947
20,0.399300,0.127441,0.967593,0.971272,0.967593,0.968016
21,1.673197,0.778809,0.861111,0.941705,0.861111,0.866990
22,0.151077,0.088379,0.976852,0.979853,0.976852,0.976934
23,1.164312,0.026367,0.990741,0.991453,0.990741,0.990725
24,1.686096,0.026733,0.995370,0.995726,0.995370,0.995362
25,0.309799,0.058472,0.976852,0.978276,0.976852,0.976820
26,1.115250,0.111633,0.972222,0.974786,0.972222,0.972035
27,0.276377,0.058990,0.986111,0.987179,0.986111,0.986087
28,0.424028,0.033203,0.986111,0.987179,0.986111,0.986087
29,1.924791,0.051270,0.981481,0.984615,0.981481,0.981253
30,0.661992,0.131836,0.958333,0.963370,0.958333,0.952586
31,1.625153,0.183838,0.939815,0.951323,0.939815,0.938711
32,3.388509,0.161011,0.958333,0.963692,0.958333,0.957774
33,1.873132,0.140137,0.967593,0.970645,0.967593,0.967860
34,0.314463,0.052765,0.986111,0.987179,0.986111,0.985867
35,0.156298,0.062866,0.981481,0.982194,0.981481,0.981246
36,1.579014,0.234375,0.958333,0.967177,0.958333,0.958835
37,1.219696,0.156738,0.953704,0.958641,0.953704,0.953633
38,0.894948,0.272217,0.939815,0.948879,0.939815,0.939289
39,1.300147,0.208130,0.939815,0.946520,0.939815,0.939085
40,0.046696,0.108826,0.972222,0.975275,0.972222,0.972019
41,0.990421,0.140991,0.972222,0.977564,0.972222,0.971677
42,0.546141,0.079712,0.986111,0.987790,0.986111,0.986038
43,0.569460,0.038055,0.995370,0.995726,0.995370,0.995362
44,1.495824,0.022705,0.990741,0.991097,0.990741,0.990733
45,0.159920,0.038086,0.986111,0.987790,0.986111,0.986038
46,1.245371,0.062469,0.986111,0.987790,0.986111,0.986038
47,0.801992,0.019150,0.990741,0.991453,0.990741,0.990505
48,0.802687,0.071899,0.990741,0.992063,0.990741,0.990676
49,0.993947,0.028687,0.986111,0.987013,0.986111,0.986065
50,1.198560,0.118042,0.967593,0.973901,0.967593,0.966991
51,0.995656,0.048676,0.981481,0.982906,0.981481,0.981230
52,1.633223,0.010307,1.000000,1.000000,1.000000,1.000000
53,0.502991,0.011375,0.995370,0.995726,0.995370,0.995362
54,1.217288,0.021439,0.990741,0.992063,0.990741,0.990896
55,0.107560,0.034576,0.990741,0.991453,0.990741,0.990725
56,0.689313,0.044525,0.986111,0.987790,0.986111,0.986038
57,0.890878,0.098267,0.976852,0.980952,0.976852,0.976786
58,0.749079,0.046692,0.990741,0.991453,0.990741,0.990725
59,1.078740,0.056580,0.976852,0.983660,0.976852,0.976895
60,0.794748,0.128052,0.976852,0.983660,0.976852,0.976895
61,0.501885,0.114258,0.976852,0.981838,0.976852,0.976315
62,0.828709,0.173706,0.972222,0.978175,0.972222,0.971628
63,0.007775,0.069397,0.981481,0.983516,0.981481,0.981181
64,0.960980,0.069092,0.986111,0.987434,0.986111,0.986266
65,2.097122,0.037018,0.986111,0.986823,0.986111,0.985875
66,0.507406,0.076172,0.981481,0.984615,0.981481,0.981724
67,1.210433,0.061584,0.981481,0.984615,0.981481,0.981253
68,1.318956,0.114258,0.976852,0.983660,0.976852,0.976895
69,0.279299,0.075012,0.976852,0.980342,0.976852,0.976615
70,0.344828,0.002800,1.000000,1.000000,1.000000,1.000000
71,0.639784,0.040985,0.981481,0.982906,0.981481,0.980759
72,0.115486,0.060303,0.981481,0.983516,0.981481,0.981181
73,0.951073,0.034180,0.995370,0.995726,0.995370,0.995362
74,0.619923,0.048187,0.990741,0.992063,0.990741,0.990676
75,0.110472,0.071655,0.976852,0.981838,0.976852,0.976315
76,0.141260,0.098938,0.981481,0.986111,0.981481,0.980952
77,1.709599,0.069031,0.981481,0.986111,0.981481,0.980952
78,0.255514,0.047974,0.981481,0.984615,0.981481,0.981253
79,0.550662,0.034760,0.986111,0.987179,0.986111,0.985867
80,0.788388,0.030212,0.990741,0.991453,0.990741,0.990505
81,2.301931,0.016632,0.995370,0.995726,0.995370,0.995362
82,2.291181,0.010101,0.995370,0.995726,0.995370,0.995362
83,0.334859,0.010208,0.995370,0.995726,0.995370,0.995362
84,0.033939,0.027100,0.995370,0.995726,0.995370,0.995362
85,0.399584,0.041901,0.986111,0.987790,0.986111,0.986038
86,0.141129,0.094238,0.976852,0.980342,0.976852,0.976396
87,1.206233,0.071472,0.986111,0.987790,0.986111,0.986038
88,0.196208,0.048523,0.990741,0.992063,0.990741,0.990676
89,0.900664,0.071106,0.976852,0.980952,0.976852,0.977037
90,0.934416,0.079041,0.981481,0.984127,0.981481,0.981352
91,0.475531,0.102783,0.986111,0.988889,0.986111,0.985891
92,0.209437,0.058258,0.990741,0.992063,0.990741,0.990676
93,0.369248,0.049927,0.986111,0.987790,0.986111,0.986038
94,2.530338,0.032990,0.990741,0.992063,0.990741,0.990676
95,0.996276,0.050903,0.990741,0.992063,0.990741,0.990676
96,1.274794,0.054810,0.986111,0.987790,0.986111,0.986038
97,0.270671,0.052155,0.981481,0.983516,0.981481,0.981401
98,1.229899,0.038086,0.990741,0.991453,0.990741,0.990725
99,0.139784,0.016037,0.990741,0.991453,0.990741,0.990725
100,1.547451,0.033325,0.990741,0.991453,0.990741,0.990725
101,1.832479,0.017105,0.990741,0.991453,0.990741,0.990725
102,0.395626,0.003952,1.000000,1.000000,1.000000,1.000000
102,0.395626,0.003952,1.000000,1.000000,1.000000,1.000000
