epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,2.973633,2.976562,0.078704,0.034065,0.078704,0.042139
2,2.671875,2.648438,0.157407,0.112235,0.157407,0.115130
3,2.407552,2.177734,0.439815,0.489459,0.439815,0.400116
4,2.202148,1.629883,0.597222,0.735411,0.597222,0.599757
5,2.058919,1.109375,0.726852,0.822112,0.726852,0.728945
6,1.163737,0.567871,0.856481,0.877255,0.856481,0.854190
7,1.549805,0.274902,0.916667,0.926716,0.916667,0.914492
8,1.137360,0.173218,0.958333,0.964113,0.958333,0.958195
9,1.415568,0.181396,0.949074,0.959372,0.949074,0.950110
10,0.827881,0.098694,0.962963,0.970238,0.962963,0.963283
11,1.812765,0.045837,0.976852,0.979853,0.976852,0.976714
12,0.991084,0.108765,0.967593,0.973901,0.967593,0.967750
13,0.899582,0.084839,0.972222,0.976068,0.972222,0.971978
14,1.499186,0.180298,0.930556,0.944495,0.930556,0.931261
15,0.981288,0.208008,0.916667,0.926700,0.916667,0.915079
16,0.226557,0.143555,0.962963,0.967643,0.962963,0.962502
17,1.111177,0.089661,0.967593,0.972405,0.967593,0.967072
18,0.758616,0.111145,0.962963,0.966256,0.962963,0.962137
19,1.473113,0.046326,0.990741,0.991453,0.990741,0.990725
20,0.423592,0.095459,0.981481,0.984615,0.981481,0.981724
21,1.826626,0.161133,0.953704,0.963646,0.953704,0.952759
22,0.642052,0.206909,0.939815,0.957096,0.939815,0.933770
23,2.071421,0.030609,1.000000,1.000000,1.000000,1.000000
24,0.497956,0.182983,0.921296,0.942485,0.921296,0.924155
25,0.668205,0.077576,0.981481,0.982906,0.981481,0.981230
26,0.995422,0.015251,1.000000,1.000000,1.000000,1.000000
27,0.195301,0.021973,0.995370,0.995726,0.995370,0.995362
28,0.568461,0.061127,0.986111,0.987790,0.986111,0.986038
29,1.358859,0.016418,0.995370,0.995726,0.995370,0.995362
30,0.838179,0.038544,0.990741,0.992063,0.990741,0.990676
31,0.510157,0.079529,0.972222,0.976190,0.972222,0.972028
32,2.656413,0.054901,0.976852,0.981838,0.976852,0.976315
33,1.386693,0.016586,1.000000,1.000000,1.000000,1.000000
34,1.028127,0.063965,0.972222,0.974969,0.972222,0.971655
35,0.564133,0.157104,0.949074,0.955922,0.949074,0.945356
36,1.823844,0.106567,0.967593,0.972405,0.967593,0.966821
37,0.691121,0.043335,0.986111,0.986823,0.986111,0.986095
38,1.103470,0.078369,0.972222,0.973480,0.972222,0.972168
39,0.558411,0.020660,0.995370,0.995726,0.995370,0.995362
40,0.230704,0.041656,0.976852,0.979986,0.976852,0.977313
41,0.947968,0.021652,0.995370,0.995726,0.995370,0.995362
42,0.866849,0.100098,0.962963,0.968940,0.962963,0.962868
43,0.885153,0.052277,0.976852,0.978632,0.976852,0.976372
44,1.592598,0.040894,0.990741,0.991453,0.990741,0.990725
45,0.160841,0.070557,0.981481,0.982550,0.981481,0.981238
46,1.434041,0.036346,0.986111,0.987179,0.986111,0.986087
47,0.692710,0.032196,0.986111,0.986823,0.986111,0.986095
48,0.306070,0.104187,0.976852,0.978887,0.976852,0.976771
49,1.528569,0.063110,0.981481,0.983516,0.981481,0.981401
50,0.732240,0.035156,0.990741,0.992063,0.990741,0.990676
51,1.373524,0.066833,0.981481,0.983516,0.981481,0.980930
52,1.415558,0.090515,0.967593,0.971306,0.967593,0.967188
53,1.101405,0.349609,0.930556,0.955980,0.930556,0.928534
54,1.540305,0.030167,0.990741,0.991453,0.990741,0.990725
55,0.507126,0.043427,0.981481,0.983160,0.981481,0.981628
56,0.689059,0.049835,0.981481,0.982906,0.981481,0.981449
57,0.571235,0.018967,1.000000,1.000000,1.000000,1.000000
58,1.332520,0.024765,0.995370,0.995726,0.995370,0.995362
59,1.846649,0.014542,0.995370,0.995726,0.995370,0.995362
60,2.965797,0.041382,0.981481,0.983160,0.981481,0.981628
61,0.958250,0.051788,0.981481,0.982739,0.981481,0.981427
62,0.111184,0.093994,0.976852,0.979076,0.976852,0.976741
63,0.210275,0.052673,0.986111,0.986402,0.986111,0.985894
64,1.681147,0.119629,0.976852,0.979209,0.976852,0.977120
65,0.819899,0.034943,0.981481,0.984259,0.981481,0.981732
66,0.774035,0.057739,0.981481,0.984259,0.981481,0.981732
67,2.190093,0.039215,0.990741,0.991097,0.990741,0.990733
68,1.227054,0.041901,0.990741,0.991097,0.990741,0.990733
69,0.286249,0.062500,0.986111,0.987790,0.986111,0.985568
70,1.026788,0.079285,0.986111,0.987179,0.986111,0.985867
71,0.743450,0.135254,0.967593,0.973504,0.967593,0.967865
72,0.132870,0.042236,0.990741,0.991453,0.990741,0.990505
73,1.316286,0.042114,0.990741,0.991097,0.990741,0.990733
73,1.316286,0.042114,0.990741,0.991097,0.990741,0.990733
