epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,3.317708,2.910156,0.064815,0.072329,0.064815,0.044835
2,2.767253,2.501953,0.212963,0.240062,0.212963,0.155689
3,2.558268,1.974609,0.550926,0.645157,0.550926,0.536842
4,2.239095,1.352539,0.750000,0.801180,0.750000,0.732805
5,1.584920,0.729980,0.861111,0.884090,0.861111,0.848961
6,1.336380,0.417969,0.916667,0.928065,0.916667,0.916952
7,0.859741,0.243530,0.935185,0.940853,0.935185,0.934370
8,1.384603,0.139893,0.958333,0.960155,0.958333,0.957789
9,1.625214,0.118103,0.953704,0.954999,0.953704,0.953226
10,0.753418,0.125732,0.962963,0.970840,0.962963,0.963992
11,1.153859,0.072266,0.981481,0.982550,0.981481,0.981457
12,0.833607,0.087524,0.976852,0.978887,0.976852,0.976771
13,0.386597,0.125610,0.958333,0.964998,0.958333,0.959061
14,0.718004,0.061035,0.986111,0.987179,0.986111,0.986087
15,0.283031,0.069519,0.972222,0.976068,0.972222,0.972229
16,1.017531,0.045685,0.981481,0.982906,0.981481,0.980759
17,0.711294,0.090515,0.981481,0.982550,0.981481,0.981457
18,1.459585,0.082092,0.981481,0.983160,0.981481,0.981628
19,0.826914,0.052734,0.986111,0.986823,0.986111,0.986095
20,0.042627,0.077148,0.967593,0.970696,0.967593,0.967874
21,1.223145,0.050293,0.986111,0.987179,0.986111,0.986087
22,0.436401,0.111084,0.958333,0.963807,0.958333,0.957918
23,0.692290,0.120117,0.962963,0.968132,0.962963,0.962183
24,0.377704,0.090332,0.962963,0.967165,0.962963,0.959375
25,0.232735,0.145020,0.962963,0.965645,0.962963,0.961967
26,1.026001,0.127319,0.962963,0.969017,0.962963,0.963192
27,0.370145,0.157837,0.967593,0.969984,0.967593,0.967723
28,0.925095,0.123230,0.972222,0.974003,0.972222,0.972182
29,0.532600,0.080322,0.981481,0.983516,0.981481,0.981181
30,0.728702,0.072632,0.972222,0.975580,0.972222,0.971067
31,1.056334,0.053436,0.972222,0.974969,0.972222,0.972319
32,2.579386,0.066284,0.976852,0.978887,0.976852,0.976771
33,0.753371,0.071716,0.981481,0.983160,0.981481,0.981409
34,0.079241,0.032715,0.986111,0.988889,0.986111,0.986581
35,0.373258,0.062073,0.976852,0.977920,0.976852,0.976828
36,1.578895,0.106018,0.981481,0.982194,0.981481,0.981465
37,0.128607,0.068115,0.981481,0.981773,0.981481,0.981264
38,0.342992,0.058167,0.972222,0.972300,0.972222,0.971348
39,0.800308,0.093628,0.981481,0.982550,0.981481,0.981238
40,0.216869,0.053101,0.986111,0.987179,0.986111,0.985867
41,0.790056,0.143799,0.972222,0.973226,0.972222,0.971769
42,0.693645,0.078247,0.986111,0.986823,0.986111,0.986095
43,0.030107,0.088623,0.972222,0.976282,0.972222,0.972274
44,0.348475,0.093506,0.981481,0.982739,0.981481,0.981427
45,0.075991,0.253174,0.953704,0.967593,0.953704,0.955219
46,0.964079,0.073547,0.981481,0.983466,0.981481,0.981992
47,0.833808,0.021286,0.990741,0.992063,0.990741,0.990896
48,0.864076,0.062103,0.981481,0.982906,0.981481,0.981449
49,1.603172,0.068237,0.981481,0.982550,0.981481,0.981457
50,1.071738,0.068420,0.990741,0.991453,0.990741,0.990725
51,1.417312,0.037567,0.990741,0.991097,0.990741,0.990733
52,1.134879,0.042084,0.986111,0.987790,0.986111,0.986038
53,0.245071,0.045563,0.986111,0.987179,0.986111,0.985867
54,1.310523,0.050659,0.981481,0.983516,0.981481,0.980930
55,0.496852,0.038849,0.986111,0.986402,0.986111,0.985894
56,0.243688,0.055267,0.986111,0.986823,0.986111,0.985875
57,0.914877,0.185181,0.962963,0.973545,0.962963,0.963623
58,1.541300,0.108643,0.981481,0.983516,0.981481,0.981620
59,1.578162,0.020691,0.995370,0.995726,0.995370,0.995362
60,0.903849,0.047363,0.990741,0.991453,0.990741,0.990505
61,0.668910,0.037842,0.990741,0.991097,0.990741,0.990733
62,0.388861,0.067444,0.990741,0.992063,0.990741,0.990676
63,0.024690,0.091736,0.986111,0.987179,0.986111,0.985867
64,0.539535,0.074890,0.990741,0.991453,0.990741,0.990505
65,0.927177,0.107727,0.981481,0.984615,0.981481,0.981504
66,1.622620,0.097656,0.981481,0.984615,0.981481,0.981504
67,1.632598,0.076050,0.981481,0.982739,0.981481,0.981207
68,0.502438,0.061676,0.986111,0.987790,0.986111,0.986038
69,0.666547,0.076477,0.981481,0.982739,0.981481,0.981207
70,0.608389,0.103821,0.981481,0.982739,0.981481,0.981207
71,0.199468,0.097290,0.972222,0.974868,0.972222,0.972312
72,0.100945,0.122986,0.986111,0.987790,0.986111,0.986038
73,0.947973,0.088623,0.981481,0.982906,0.981481,0.981423
74,1.482232,0.067017,0.981481,0.982550,0.981481,0.981238
75,0.025950,0.060303,0.981481,0.982906,0.981481,0.981423
76,0.026658,0.066589,0.981481,0.982906,0.981481,0.981423
77,0.745300,0.069092,0.981481,0.986111,0.981481,0.981962
78,0.003701,0.065125,0.986111,0.988889,0.986111,0.986361
79,0.782709,0.059875,0.986111,0.987790,0.986111,0.986038
80,0.240112,0.073181,0.986111,0.987790,0.986111,0.986038
81,1.540243,0.070618,0.981481,0.982129,0.981481,0.981449
82,0.883783,0.107910,0.972222,0.974192,0.972222,0.972125
83,0.828480,0.114197,0.981481,0.982194,0.981481,0.981465
84,0.408634,0.070312,0.981481,0.982129,0.981481,0.981449
85,1.290405,0.067139,0.986111,0.987179,0.986111,0.985867
86,0.658494,0.050232,0.986111,0.987179,0.986111,0.985867
87,1.407428,0.055786,0.976852,0.979243,0.976852,0.976543
88,0.204159,0.036652,0.976852,0.978276,0.976852,0.976600
89,0.975115,0.041595,0.986111,0.987179,0.986111,0.985867
90,0.867921,0.032318,0.976852,0.978276,0.976852,0.976600
91,0.073879,0.037231,0.981481,0.982906,0.981481,0.981230
92,0.658956,0.021896,0.990741,0.992063,0.990741,0.990676
93,0.139469,0.019257,0.995370,0.995726,0.995370,0.995362
94,1.465192,0.017654,0.995370,0.995726,0.995370,0.995362
95,0.195078,0.022629,0.995370,0.995726,0.995370,0.995362
96,0.536828,0.029419,0.990741,0.992063,0.990741,0.990676
97,0.743773,0.042542,0.986111,0.987179,0.986111,0.985867
98,0.502413,0.046021,0.986111,0.987179,0.986111,0.985867
99,0.752905,0.028580,0.990741,0.991453,0.990741,0.990505
100,1.269824,0.013824,0.995370,0.995726,0.995370,0.995362
101,1.206148,0.007809,1.000000,1.000000,1.000000,1.000000
102,0.464025,0.008476,0.995370,0.995726,0.995370,0.995362
103,0.180183,0.010239,1.000000,1.000000,1.000000,1.000000
104,0.615714,0.018631,0.995370,0.995726,0.995370,0.995362
105,0.064283,0.034485,0.990741,0.991453,0.990741,0.990725
106,0.819518,0.044006,0.990741,0.991453,0.990741,0.990725
107,1.607876,0.077942,0.981481,0.983160,0.981481,0.981409
108,0.889468,0.097168,0.981481,0.983160,0.981481,0.981409
109,0.321725,0.075562,0.981481,0.983160,0.981481,0.981409
110,0.778542,0.044189,0.986111,0.987434,0.986111,0.986046
111,0.165422,0.031616,0.990741,0.991097,0.990741,0.990733
112,0.836838,0.027176,0.981481,0.984615,0.981481,0.981504
113,0.324205,0.033752,0.976852,0.979548,0.976852,0.976908
114,0.169971,0.033112,0.990741,0.991453,0.990741,0.990725
115,1.483066,0.026794,0.990741,0.991453,0.990741,0.990725
116,0.640851,0.022278,0.990741,0.991453,0.990741,0.990725
117,2.302508,0.024429,0.986111,0.987790,0.986111,0.986038
118,1.252372,0.029190,0.990741,0.991453,0.990741,0.990505
119,1.137280,0.029037,0.990741,0.991453,0.990741,0.990505
120,0.151362,0.038666,0.986111,0.987179,0.986111,0.985867
121,0.383513,0.040894,0.986111,0.987179,0.986111,0.985867
122,0.270526,0.030273,0.981481,0.982129,0.981481,0.981449
123,2.139729,0.029312,0.990741,0.991453,0.990741,0.990505
124,0.460871,0.034454,0.981481,0.982383,0.981481,0.981435
125,0.636378,0.023849,0.986111,0.986046,0.986111,0.985902
126,0.116575,0.031097,0.981481,0.982383,0.981481,0.981435
127,1.203766,0.030197,0.986111,0.986402,0.986111,0.985894
128,0.271374,0.018951,0.986111,0.986402,0.986111,0.985894
129,0.131960,0.016983,0.990741,0.991453,0.990741,0.990505
130,0.258548,0.015282,0.990741,0.991453,0.990741,0.990505
131,0.022031,0.012901,0.990741,0.991453,0.990741,0.990505
132,0.160296,0.013824,0.990741,0.991453,0.990741,0.990725
133,0.101372,0.011078,0.995370,0.995726,0.995370,0.995362
134,0.401814,0.009445,1.000000,1.000000,1.000000,1.000000
135,0.668848,0.006691,1.000000,1.000000,1.000000,1.000000
136,0.389081,0.005596,1.000000,1.000000,1.000000,1.000000
137,0.016319,0.006081,1.000000,1.000000,1.000000,1.000000
138,0.694593,0.007626,0.995370,0.995726,0.995370,0.995362
139,0.027409,0.010788,0.995370,0.995726,0.995370,0.995362
140,0.416359,0.014328,0.995370,0.995726,0.995370,0.995362
141,0.235225,0.013992,0.995370,0.995726,0.995370,0.995362
142,0.834671,0.011177,0.995370,0.995726,0.995370,0.995362
143,0.177491,0.010384,0.995370,0.995726,0.995370,0.995362
144,0.003467,0.011139,0.995370,0.995726,0.995370,0.995362
145,0.026617,0.011314,0.995370,0.995726,0.995370,0.995362
146,0.470222,0.011719,0.995370,0.995726,0.995370,0.995362
147,0.209515,0.012207,0.995370,0.995726,0.995370,0.995362
148,0.188420,0.011528,0.995370,0.995726,0.995370,0.995362
149,0.010812,0.010506,0.995370,0.995726,0.995370,0.995362
150,0.034615,0.013863,0.995370,0.995726,0.995370,0.995362
150,0.034615,0.013863,0.995370,0.995726,0.995370,0.995362
