epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,3.185872,2.923828,0.069444,0.042707,0.069444,0.033810
2,2.875000,2.507812,0.199074,0.203298,0.199074,0.143163
3,2.263021,1.957031,0.546296,0.590059,0.546296,0.527797
4,1.993652,1.323242,0.777778,0.823659,0.777778,0.758233
5,1.730591,0.722168,0.884259,0.897969,0.884259,0.879006
6,1.393590,0.362061,0.925926,0.930063,0.925926,0.925198
7,0.939941,0.237427,0.939815,0.943589,0.939815,0.939770
8,0.643290,0.153564,0.949074,0.950725,0.949074,0.948782
9,1.488403,0.100281,0.958333,0.959758,0.958333,0.958301
10,0.928212,0.132935,0.972222,0.975275,0.972222,0.972489
11,0.821302,0.110657,0.976852,0.977920,0.976852,0.976828
12,0.460363,0.061981,0.976852,0.978276,0.976852,0.976820
13,0.585592,0.098267,0.967593,0.973315,0.967593,0.968745
14,0.288446,0.108887,0.976852,0.978531,0.976852,0.976999
15,0.629081,0.210449,0.944444,0.958381,0.944444,0.946847
16,0.749563,0.129272,0.972222,0.974868,0.972222,0.972093
17,0.559097,0.055603,0.990741,0.991453,0.990741,0.990725
18,0.483653,0.160645,0.958333,0.964601,0.958333,0.956358
19,0.948621,0.095215,0.967593,0.970340,0.967593,0.967025
20,0.051025,0.057343,0.981481,0.982906,0.981481,0.981449
21,1.546875,0.063721,0.986111,0.987179,0.986111,0.986087
22,0.136108,0.021820,0.990741,0.991453,0.990741,0.990725
23,0.815279,0.022644,0.990741,0.991453,0.990741,0.990725
24,0.152934,0.071350,0.976852,0.979986,0.976852,0.976623
25,0.467124,0.050171,0.986111,0.987179,0.986111,0.986087
26,0.526842,0.065491,0.990741,0.991453,0.990741,0.990725
27,0.474882,0.073425,0.986111,0.987179,0.986111,0.986087
28,1.030898,0.097900,0.972222,0.974003,0.972222,0.971962
29,0.126921,0.045288,0.981481,0.982194,0.981481,0.981465
30,0.736544,0.009499,1.000000,1.000000,1.000000,1.000000
31,1.074448,0.102356,0.976852,0.979548,0.976852,0.976657
32,2.955892,0.058502,0.990741,0.991453,0.990741,0.990725
33,0.384625,0.046814,0.986111,0.987179,0.986111,0.985867
34,0.792456,0.077698,0.981481,0.983516,0.981481,0.981401
35,0.888219,0.083069,0.981481,0.983516,0.981481,0.980930
36,1.550458,0.070740,0.976852,0.979853,0.976852,0.976934
37,0.553953,0.049744,0.986111,0.987179,0.986111,0.986087
38,0.759479,0.084045,0.981481,0.982906,0.981481,0.981449
39,0.382014,0.108032,0.962963,0.967521,0.962963,0.961917
40,0.077493,0.132935,0.976852,0.978887,0.976852,0.976991
41,1.204830,0.044037,0.990741,0.991453,0.990741,0.990725
42,1.234974,0.109497,0.972222,0.974935,0.972222,0.972483
43,0.177159,0.186401,0.967593,0.970696,0.967593,0.967874
44,0.549911,0.144165,0.972222,0.977564,0.972222,0.973126
45,0.278227,0.024765,0.990741,0.991453,0.990741,0.990725
46,2.303993,0.063354,0.990741,0.991453,0.990741,0.990725
47,0.961201,0.058960,0.976852,0.978276,0.976852,0.976820
48,0.891206,0.073792,0.976852,0.978632,0.976852,0.976592
49,0.868520,0.066833,0.967593,0.973901,0.967593,0.967750
50,0.239438,0.043854,0.986111,0.987790,0.986111,0.985568
51,0.663552,0.024246,0.990741,0.991453,0.990741,0.990725
52,1.775267,0.050507,0.981481,0.982906,0.981481,0.981449
53,0.071952,0.031113,0.986111,0.987179,0.986111,0.985867
54,1.843519,0.020828,0.995370,0.995726,0.995370,0.995362
55,0.107559,0.011360,0.995370,0.995726,0.995370,0.995362
56,0.237597,0.012520,0.995370,0.995726,0.995370,0.995362
57,0.033164,0.080078,0.976852,0.983660,0.976852,0.977654
58,1.516191,0.074768,0.986111,0.988889,0.986111,0.986361
59,1.159835,0.044281,0.990741,0.991097,0.990741,0.990733
60,0.869209,0.059723,0.976852,0.978632,0.976852,0.976592
61,0.266721,0.069214,0.976852,0.978276,0.976852,0.976600
62,0.750087,0.046509,0.981481,0.982906,0.981481,0.981230
63,0.011907,0.025574,0.986111,0.986823,0.986111,0.986095
64,0.223181,0.021332,0.990741,0.991097,0.990741,0.990733
65,0.531186,0.095947,0.981481,0.986111,0.981481,0.980952
66,0.135513,0.024124,0.990741,0.991453,0.990741,0.990725
67,1.715152,0.020187,0.990741,0.991453,0.990741,0.990725
68,0.301298,0.009644,1.000000,1.000000,1.000000,1.000000
69,0.199662,0.128174,0.972222,0.977564,0.972222,0.972436
70,0.492090,0.039062,0.986111,0.987790,0.986111,0.986038
71,0.609156,0.044128,0.990741,0.991453,0.990741,0.990725
72,0.060332,0.080078,0.986111,0.987790,0.986111,0.986038
73,1.475550,0.107117,0.990741,0.992063,0.990741,0.990676
74,0.642447,0.101013,0.986111,0.987790,0.986111,0.986038
75,0.021407,0.075928,0.981481,0.982550,0.981481,0.981457
76,0.121960,0.074524,0.986111,0.986823,0.986111,0.986095
77,1.676963,0.054504,0.986111,0.986823,0.986111,0.986095
78,0.147984,0.027527,0.981481,0.982906,0.981481,0.981230
79,0.876355,0.067627,0.972222,0.974359,0.972222,0.971457
80,0.922640,0.121582,0.944444,0.953335,0.944444,0.944388
80,0.922640,0.121582,0.944444,0.953335,0.944444,0.944388
