epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,2.905957,2.916016,0.069444,0.102028,0.069444,0.060893
2,2.892226,2.832031,0.092593,0.090580,0.092593,0.069393
3,2.752812,2.699219,0.203704,0.177935,0.203704,0.162366
4,2.586738,2.529297,0.402778,0.497304,0.402778,0.374217
5,2.546035,2.298828,0.587963,0.616835,0.587963,0.554850
6,2.251309,2.021484,0.754630,0.798312,0.754630,0.743945
7,1.840056,1.695312,0.837963,0.860629,0.837963,0.834991
8,1.735322,1.288086,0.870370,0.892058,0.870370,0.867836
9,1.202286,0.852051,0.898148,0.915794,0.898148,0.893582
10,0.839599,0.483887,0.935185,0.943926,0.935185,0.930915
11,0.393058,0.274902,0.962963,0.967776,0.962963,0.960809
12,0.195854,0.169189,0.976852,0.980342,0.976852,0.974763
13,0.266639,0.104614,0.990741,0.991453,0.990741,0.990505
14,0.196875,0.065979,0.995370,0.995726,0.995370,0.995362
15,0.059576,0.052917,0.990741,0.991453,0.990741,0.990725
16,0.046087,0.052124,0.990741,0.991453,0.990741,0.990505
17,0.042816,0.059357,0.986111,0.987179,0.986111,0.985397
18,0.041149,0.048096,0.986111,0.987179,0.986111,0.985397
19,0.104031,0.034515,0.986111,0.987179,0.986111,0.985867
20,0.010124,0.018600,1.000000,1.000000,1.000000,1.000000
21,0.109410,0.013893,1.000000,1.000000,1.000000,1.000000
22,0.008435,0.023682,0.990741,0.992063,0.990741,0.990896
23,0.031452,0.024719,0.995370,0.995726,0.995370,0.995362
24,0.015419,0.024216,0.995370,0.995726,0.995370,0.995362
25,0.048350,0.022385,0.990741,0.992063,0.990741,0.990896
26,0.011966,0.017853,0.995370,0.995726,0.995370,0.995362
27,0.010469,0.017227,0.995370,0.995726,0.995370,0.995362
28,0.129067,0.021439,0.995370,0.995726,0.995370,0.995362
29,0.054213,0.028015,0.990741,0.991453,0.990741,0.990505
30,0.008102,0.038849,0.986111,0.987179,0.986111,0.985867
31,0.059135,0.036774,0.990741,0.991453,0.990741,0.990725
32,0.009324,0.025970,0.995370,0.995726,0.995370,0.995362
33,0.012578,0.007362,1.000000,1.000000,1.000000,1.000000
34,0.050404,0.007755,1.000000,1.000000,1.000000,1.000000
