epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,2.910078,2.908203,0.050926,0.040802,0.050926,0.036832
2,2.861914,2.830078,0.115741,0.121390,0.115741,0.089142
3,2.702930,2.699219,0.231481,0.179510,0.231481,0.182001
4,2.559258,2.511719,0.393519,0.464958,0.393519,0.350860
5,2.492998,2.261719,0.587963,0.632482,0.587963,0.550521
6,2.130317,1.951172,0.740741,0.799374,0.740741,0.726555
7,1.888931,1.585938,0.856481,0.877726,0.856481,0.848509
8,1.602253,1.165039,0.916667,0.930352,0.916667,0.913805
9,1.186560,0.751465,0.939815,0.943928,0.939815,0.936813
10,0.736598,0.439697,0.953704,0.955544,0.953704,0.951765
11,0.373201,0.238525,0.972222,0.974969,0.972222,0.971435
12,0.165638,0.155640,0.986111,0.987179,0.986111,0.985397
13,0.206432,0.096313,0.990741,0.991453,0.990741,0.990725
14,0.129915,0.054230,0.990741,0.991453,0.990741,0.990725
15,0.061190,0.032288,1.000000,1.000000,1.000000,1.000000
16,0.040432,0.023758,1.000000,1.000000,1.000000,1.000000
17,0.106455,0.018890,1.000000,1.000000,1.000000,1.000000
18,0.022651,0.019897,1.000000,1.000000,1.000000,1.000000
19,0.037786,0.014320,1.000000,1.000000,1.000000,1.000000
20,0.038816,0.015511,0.995370,0.995726,0.995370,0.995362
21,0.141176,0.016479,0.995370,0.995726,0.995370,0.995362
22,0.066474,0.023148,1.000000,1.000000,1.000000,1.000000
23,0.048357,0.019592,0.995370,0.995726,0.995370,0.995362
24,0.085716,0.012573,1.000000,1.000000,1.000000,1.000000
25,0.023368,0.009842,1.000000,1.000000,1.000000,1.000000
26,0.020671,0.011391,0.995370,0.995726,0.995370,0.995362
27,0.009562,0.022125,0.995370,0.995726,0.995370,0.995362
28,0.099880,0.015114,0.995370,0.995726,0.995370,0.995362
29,0.123306,0.009216,1.000000,1.000000,1.000000,1.000000
30,0.086215,0.033966,0.990741,0.991097,0.990741,0.990733
31,0.070820,0.034851,0.990741,0.991097,0.990741,0.990733
32,0.012704,0.030563,0.990741,0.991453,0.990741,0.990505
33,0.022921,0.019470,0.990741,0.991453,0.990741,0.990505
34,0.007481,0.008835,1.000000,1.000000,1.000000,1.000000
35,0.012475,0.005875,1.000000,1.000000,1.000000,1.000000
36,0.029940,0.006252,1.000000,1.000000,1.000000,1.000000
37,0.016421,0.005234,1.000000,1.000000,1.000000,1.000000
38,0.004542,0.005505,1.000000,1.000000,1.000000,1.000000
39,0.009043,0.007397,0.995370,0.995726,0.995370,0.995362
40,0.001683,0.005066,1.000000,1.000000,1.000000,1.000000
41,0.018859,0.005047,1.000000,1.000000,1.000000,1.000000
42,0.008982,0.005821,1.000000,1.000000,1.000000,1.000000
43,0.025758,0.004902,1.000000,1.000000,1.000000,1.000000
44,0.009588,0.003601,1.000000,1.000000,1.000000,1.000000
45,0.003539,0.003378,1.000000,1.000000,1.000000,1.000000
46,0.008230,0.003174,1.000000,1.000000,1.000000,1.000000
47,0.013807,0.003771,1.000000,1.000000,1.000000,1.000000
48,0.001692,0.004364,1.000000,1.000000,1.000000,1.000000
49,0.017288,0.003401,1.000000,1.000000,1.000000,1.000000
50,0.019411,0.002691,1.000000,1.000000,1.000000,1.000000
51,0.003517,0.003168,1.000000,1.000000,1.000000,1.000000
52,0.004257,0.003576,1.000000,1.000000,1.000000,1.000000
53,0.057075,0.004364,1.000000,1.000000,1.000000,1.000000
54,0.011943,0.012482,0.995370,0.995726,0.995370,0.995362
55,0.003477,0.017319,0.995370,0.995726,0.995370,0.995362
56,0.024883,0.017914,0.995370,0.995726,0.995370,0.995362
57,0.040240,0.014824,0.995370,0.995726,0.995370,0.995362
58,0.027904,0.021942,0.995370,0.995726,0.995370,0.995362
59,0.089029,0.029160,0.986111,0.987179,0.986111,0.985397
60,0.017003,0.035126,0.990741,0.991453,0.990741,0.990505
61,0.043427,0.010963,0.995370,0.995726,0.995370,0.995362
62,0.013378,0.005363,1.000000,1.000000,1.000000,1.000000
63,0.005365,0.004642,1.000000,1.000000,1.000000,1.000000
64,0.018721,0.005001,1.000000,1.000000,1.000000,1.000000
65,0.011598,0.008804,0.995370,0.995726,0.995370,0.995362
65,0.011598,0.008804,0.995370,0.995726,0.995370,0.995362
1,2.910078,2.908203,0.050926,0.040802,0.050926,0.036832
2,2.861914,2.830078,0.115741,0.121390,0.115741,0.089142
