epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,2.906641,2.892578,0.050926,0.050328,0.050926,0.044645
2,2.841172,2.816406,0.092593,0.158429,0.092593,0.084191
3,2.728398,2.660156,0.212963,0.283602,0.212963,0.203716
4,2.574570,2.455078,0.458333,0.470804,0.458333,0.432279
5,2.484883,2.191406,0.634259,0.663027,0.634259,0.604992
6,2.223848,1.833984,0.712963,0.750909,0.712963,0.696325
7,1.781803,1.414062,0.740741,0.793230,0.740741,0.724390
8,1.602693,1.031250,0.810185,0.847285,0.810185,0.796767
9,1.155577,0.670410,0.861111,0.880437,0.861111,0.857622
10,0.912765,0.414062,0.898148,0.906396,0.898148,0.897807
11,0.418565,0.255127,0.930556,0.936121,0.930556,0.930318
12,0.638928,0.143188,0.967593,0.971272,0.967593,0.967796
13,0.568706,0.080383,0.986111,0.987179,0.986111,0.986087
14,0.352387,0.065857,0.976852,0.979853,0.976852,0.976934
15,0.156734,0.085754,0.981481,0.983160,0.981481,0.981628
16,0.177028,0.067688,0.976852,0.978887,0.976852,0.976991
17,0.163208,0.108948,0.958333,0.968661,0.958333,0.954515
18,0.218658,0.059082,0.986111,0.988889,0.986111,0.986361
19,0.182760,0.038849,0.986111,0.987179,0.986111,0.986087
20,0.295082,0.053741,0.981481,0.982550,0.981481,0.981238
21,0.244999,0.099487,0.967593,0.970085,0.967593,0.967233
22,0.073345,0.063965,0.976852,0.978276,0.976852,0.976323
23,0.161847,0.024094,0.995370,0.995726,0.995370,0.995362
24,0.190315,0.015915,1.000000,1.000000,1.000000,1.000000
25,0.205212,0.036469,0.986111,0.987790,0.986111,0.986038
26,0.125701,0.043304,0.990741,0.991453,0.990741,0.990725
27,0.354636,0.048950,0.986111,0.987790,0.986111,0.986258
28,0.097041,0.078796,0.967593,0.975000,0.967593,0.967533
29,0.142771,0.032776,0.990741,0.992063,0.990741,0.990896
30,0.047197,0.020386,0.986111,0.988889,0.986111,0.986361
31,0.115011,0.020523,0.990741,0.991453,0.990741,0.990725
32,0.040260,0.022675,0.990741,0.991453,0.990741,0.990725
33,0.039210,0.022583,0.990741,0.991453,0.990741,0.990725
34,0.029051,0.014030,0.995370,0.995726,0.995370,0.995362
35,0.049481,0.013580,1.000000,1.000000,1.000000,1.000000
36,0.112643,0.014915,0.995370,0.995726,0.995370,0.995362
37,0.098165,0.021439,0.990741,0.991453,0.990741,0.990725
38,0.026349,0.030396,0.986111,0.987179,0.986111,0.985867
39,0.181005,0.016342,0.995370,0.995726,0.995370,0.995362
40,0.170675,0.019760,0.990741,0.992063,0.990741,0.990676
41,0.028928,0.016083,0.995370,0.995726,0.995370,0.995362
42,0.086624,0.006031,1.000000,1.000000,1.000000,1.000000
43,0.241891,0.008316,0.995370,0.995726,0.995370,0.995362
44,0.089143,0.015640,0.995370,0.995726,0.995370,0.995362
45,0.121218,0.019409,0.990741,0.991453,0.990741,0.990725
46,0.070705,0.017319,0.990741,0.991453,0.990741,0.990725
47,0.140792,0.021408,0.986111,0.987179,0.986111,0.986087
48,0.029735,0.012863,0.990741,0.991453,0.990741,0.990725
49,0.150245,0.015373,0.995370,0.995726,0.995370,0.995362
50,0.020342,0.022552,0.990741,0.991453,0.990741,0.990725
51,0.048140,0.015701,0.995370,0.995726,0.995370,0.995362
52,0.009766,0.011871,0.995370,0.995726,0.995370,0.995362
53,0.011075,0.009872,0.995370,0.995726,0.995370,0.995362
54,0.147904,0.002970,1.000000,1.000000,1.000000,1.000000
55,0.026296,0.004959,1.000000,1.000000,1.000000,1.000000
56,0.119318,0.008652,0.995370,0.995726,0.995370,0.995362
57,0.118298,0.019318,0.990741,0.991097,0.990741,0.990733
58,0.023233,0.036377,0.981481,0.983160,0.981481,0.981409
59,0.097375,0.019409,0.986111,0.987179,0.986111,0.986280
60,0.011491,0.008247,1.000000,1.000000,1.000000,1.000000
61,0.091012,0.007156,1.000000,1.000000,1.000000,1.000000
62,0.018910,0.022888,0.986111,0.987179,0.986111,0.986087
63,0.041259,0.019699,0.986111,0.987179,0.986111,0.986087
64,0.066254,0.046509,0.976852,0.979243,0.976852,0.976486
65,0.055564,0.054504,0.976852,0.980952,0.976852,0.976786
66,0.147443,0.047302,0.976852,0.980952,0.976852,0.977037
67,0.037290,0.022476,0.986111,0.987790,0.986111,0.986258
68,0.005530,0.004925,1.000000,1.000000,1.000000,1.000000
69,0.017719,0.002975,1.000000,1.000000,1.000000,1.000000
70,0.009612,0.002468,1.000000,1.000000,1.000000,1.000000
71,0.008863,0.002392,1.000000,1.000000,1.000000,1.000000
72,0.098440,0.002716,1.000000,1.000000,1.000000,1.000000
73,0.004251,0.006790,1.000000,1.000000,1.000000,1.000000
74,0.005334,0.005947,1.000000,1.000000,1.000000,1.000000
74,0.005334,0.005947,1.000000,1.000000,1.000000,1.000000
