epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,2.870273,2.888672,0.055556,0.052401,0.055556,0.044945
2,2.800332,2.814453,0.087963,0.117959,0.087963,0.079020
3,2.718398,2.666016,0.175926,0.207313,0.175926,0.167991
4,2.563770,2.457031,0.467593,0.482012,0.467593,0.444767
5,2.424414,2.171875,0.680556,0.726976,0.680556,0.657186
6,2.199121,1.794922,0.731481,0.772684,0.731481,0.701188
7,1.874971,1.366211,0.777778,0.818842,0.777778,0.752319
8,1.640770,0.984863,0.828704,0.864137,0.828704,0.819406
9,1.202111,0.619141,0.879630,0.899197,0.879630,0.876335
10,0.980358,0.403809,0.893519,0.901109,0.893519,0.890264
11,0.498817,0.237061,0.939815,0.942290,0.939815,0.938261
12,0.520985,0.166016,0.949074,0.952978,0.949074,0.949197
13,0.460225,0.103394,0.967593,0.970645,0.967593,0.966630
14,0.271926,0.074402,0.972222,0.977564,0.972222,0.971677
15,0.326620,0.060974,0.986111,0.987179,0.986111,0.986087
16,0.130636,0.046753,0.995370,0.995726,0.995370,0.995362
17,0.239615,0.071228,0.972222,0.975000,0.972222,0.972472
18,0.228991,0.121399,0.967593,0.975113,0.967593,0.966526
19,0.140482,0.070374,0.981481,0.982906,0.981481,0.981230
20,0.121125,0.056702,0.986111,0.987790,0.986111,0.986258
21,0.126515,0.058228,0.976852,0.979497,0.976852,0.976942
22,0.086881,0.052734,0.986111,0.987179,0.986111,0.986087
23,0.106214,0.028488,0.990741,0.991453,0.990741,0.990725
24,0.154756,0.041840,0.986111,0.987179,0.986111,0.985867
25,0.159305,0.017944,0.995370,0.995726,0.995370,0.995362
26,0.120897,0.047089,0.986111,0.987790,0.986111,0.986038
27,0.236036,0.083069,0.958333,0.963462,0.958333,0.958142
28,0.106890,0.046234,0.986111,0.987179,0.986111,0.985867
29,0.085327,0.033752,0.990741,0.991453,0.990741,0.990725
30,0.217457,0.038483,0.981481,0.982550,0.981481,0.981238
31,0.167167,0.037292,0.986111,0.987179,0.986111,0.986087
32,0.154744,0.033905,0.990741,0.992063,0.990741,0.990676
33,0.180876,0.024780,0.990741,0.991453,0.990741,0.990725
34,0.023669,0.008774,1.000000,1.000000,1.000000,1.000000
35,0.038181,0.012695,1.000000,1.000000,1.000000,1.000000
36,0.132521,0.023712,0.986111,0.987179,0.986111,0.986087
37,0.088137,0.045929,0.986111,0.987790,0.986111,0.986038
38,0.009602,0.041534,0.990741,0.991453,0.990741,0.990725
39,0.122681,0.041901,0.986111,0.987179,0.986111,0.986087
40,0.026744,0.047241,0.990741,0.991453,0.990741,0.990725
41,0.024151,0.028824,0.990741,0.991453,0.990741,0.990725
42,0.027781,0.012909,0.995370,0.995726,0.995370,0.995362
43,0.103538,0.007378,1.000000,1.000000,1.000000,1.000000
44,0.260294,0.009361,0.995370,0.995726,0.995370,0.995362
45,0.028141,0.020309,0.990741,0.991453,0.990741,0.990725
46,0.014074,0.014618,0.990741,0.991453,0.990741,0.990505
47,0.048994,0.014267,0.995370,0.995726,0.995370,0.995362
48,0.013625,0.013840,0.995370,0.995726,0.995370,0.995362
49,0.134204,0.011520,0.995370,0.995726,0.995370,0.995362
50,0.027814,0.013725,0.995370,0.995726,0.995370,0.995362
51,0.026399,0.021530,0.981481,0.983516,0.981481,0.981401
52,0.024161,0.021912,0.990741,0.991453,0.990741,0.990725
53,0.023113,0.011841,0.995370,0.995726,0.995370,0.995362
54,0.134581,0.015312,0.990741,0.991453,0.990741,0.990725
55,0.072665,0.015686,0.995370,0.995726,0.995370,0.995362
56,0.043385,0.020569,0.990741,0.991097,0.990741,0.990733
57,0.076317,0.015587,0.995370,0.995726,0.995370,0.995362
58,0.049113,0.015617,0.995370,0.995726,0.995370,0.995362
59,0.104084,0.018433,0.995370,0.995726,0.995370,0.995362
60,0.013958,0.018051,0.995370,0.995726,0.995370,0.995362
61,0.030606,0.013229,0.995370,0.995726,0.995370,0.995362
62,0.018106,0.006470,0.995370,0.995726,0.995370,0.995362
63,0.070071,0.006321,1.000000,1.000000,1.000000,1.000000
64,0.159409,0.002781,1.000000,1.000000,1.000000,1.000000
65,0.037097,0.004913,1.000000,1.000000,1.000000,1.000000
66,0.086207,0.008369,0.995370,0.995726,0.995370,0.995362
67,0.050210,0.008026,1.000000,1.000000,1.000000,1.000000
68,0.040317,0.008034,1.000000,1.000000,1.000000,1.000000
69,0.094308,0.020416,0.990741,0.991453,0.990741,0.990725
70,0.004722,0.025208,0.990741,0.991453,0.990741,0.990725
71,0.019475,0.009186,1.000000,1.000000,1.000000,1.000000
72,0.100898,0.004501,1.000000,1.000000,1.000000,1.000000
73,0.005727,0.004971,1.000000,1.000000,1.000000,1.000000
74,0.008943,0.007904,1.000000,1.000000,1.000000,1.000000
75,0.011140,0.009369,1.000000,1.000000,1.000000,1.000000
76,0.105846,0.009422,0.995370,0.995726,0.995370,0.995362
77,0.043001,0.010689,0.995370,0.995726,0.995370,0.995362
78,0.022374,0.011292,1.000000,1.000000,1.000000,1.000000
79,0.092657,0.007549,1.000000,1.000000,1.000000,1.000000
80,0.105925,0.006680,1.000000,1.000000,1.000000,1.000000
81,0.086890,0.014862,0.995370,0.995726,0.995370,0.995362
82,0.020006,0.017395,0.995370,0.995726,0.995370,0.995362
83,0.035298,0.006493,1.000000,1.000000,1.000000,1.000000
84,0.206908,0.007214,0.995370,0.995726,0.995370,0.995362
84,0.206908,0.007214,0.995370,0.995726,0.995370,0.995362
