epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,3.004336,2.896484,0.041667,0.042578,0.041667,0.037229
2,2.890195,2.824219,0.069444,0.078131,0.069444,0.064745
3,2.769531,2.667969,0.217593,0.237842,0.217593,0.181129
4,2.498535,2.419922,0.430556,0.506373,0.430556,0.406667
5,2.436577,2.107422,0.685185,0.711964,0.685185,0.675456
6,2.012237,1.785156,0.819444,0.840481,0.819444,0.817045
7,1.765486,1.340820,0.856481,0.870378,0.856481,0.855319
8,1.418859,0.880859,0.916667,0.923179,0.916667,0.915951
9,0.939274,0.522949,0.925926,0.928628,0.925926,0.924771
10,0.603608,0.295166,0.944444,0.945526,0.944444,0.943530
11,0.373434,0.184692,0.953704,0.954934,0.953704,0.953237
12,0.179149,0.135864,0.967593,0.969058,0.967593,0.967083
13,0.135061,0.101196,0.967593,0.968175,0.967593,0.967158
14,0.212032,0.076477,0.976852,0.977564,0.976852,0.976836
15,0.154883,0.056030,0.981481,0.982129,0.981481,0.981256
16,0.173226,0.050293,0.981481,0.982129,0.981481,0.981256
17,0.160027,0.057861,0.986111,0.987179,0.986111,0.985867
18,0.046246,0.074585,0.981481,0.982906,0.981481,0.981230
19,0.078919,0.071045,0.976852,0.977855,0.976852,0.976618
20,0.019785,0.051544,0.986111,0.987179,0.986111,0.986087
21,0.202363,0.039276,0.990741,0.991453,0.990741,0.990725
22,0.084122,0.047241,0.986111,0.986823,0.986111,0.986095
23,0.019381,0.051697,0.986111,0.987179,0.986111,0.985867
24,0.010016,0.049896,0.986111,0.987179,0.986111,0.985867
25,0.100493,0.052795,0.981481,0.982906,0.981481,0.981230
26,0.073905,0.044922,0.990741,0.991453,0.990741,0.990725
27,0.037590,0.046936,0.990741,0.991453,0.990741,0.990725
28,0.058608,0.041382,0.990741,0.991453,0.990741,0.990725
29,0.017554,0.040436,0.986111,0.987179,0.986111,0.985867
30,0.049498,0.039459,0.990741,0.991453,0.990741,0.990725
31,0.024020,0.046326,0.986111,0.987179,0.986111,0.985867
32,0.020171,0.055939,0.986111,0.987179,0.986111,0.985867
33,0.086164,0.056427,0.986111,0.987179,0.986111,0.985867
34,0.004814,0.068665,0.981481,0.982129,0.981481,0.981256
35,0.100631,0.037231,0.986111,0.987179,0.986111,0.985867
36,0.112556,0.039124,0.990741,0.991453,0.990741,0.990725
37,0.004477,0.038391,0.990741,0.991453,0.990741,0.990725
38,0.043547,0.047241,0.986111,0.986823,0.986111,0.986095
39,0.039827,0.051117,0.986111,0.986823,0.986111,0.986095
40,0.091639,0.057556,0.990741,0.991453,0.990741,0.990725
41,0.019421,0.056824,0.990741,0.991453,0.990741,0.990725
42,0.079562,0.059204,0.986111,0.987179,0.986111,0.985867
43,0.026972,0.065735,0.981481,0.981773,0.981481,0.981264
44,0.013093,0.070312,0.986111,0.986823,0.986111,0.986095
45,0.007535,0.075500,0.986111,0.986823,0.986111,0.986095
46,0.003930,0.058197,0.986111,0.986823,0.986111,0.986095
47,0.052879,0.049469,0.986111,0.986823,0.986111,0.986095
48,0.062911,0.114929,0.972222,0.974169,0.972222,0.971324
49,0.140096,0.087158,0.976852,0.977961,0.976852,0.976350
50,0.006292,0.084473,0.981481,0.982906,0.981481,0.981643
51,0.084066,0.067871,0.986111,0.986823,0.986111,0.986095
52,0.038976,0.083557,0.981481,0.982129,0.981481,0.981256
53,0.055849,0.112549,0.981481,0.982129,0.981481,0.981256
54,0.063826,0.085327,0.986111,0.987179,0.986111,0.985867
55,0.005878,0.106262,0.981481,0.982906,0.981481,0.980759
56,0.062083,0.071777,0.976852,0.978276,0.976852,0.976130
57,0.005378,0.053711,0.981481,0.983516,0.981481,0.980930
58,0.004507,0.048309,0.986111,0.987790,0.986111,0.986038
59,0.056744,0.044495,0.986111,0.987790,0.986111,0.986038
60,0.002534,0.037445,0.986111,0.987790,0.986111,0.986038
61,0.056060,0.033966,0.986111,0.987790,0.986111,0.986038
62,0.007774,0.023209,0.990741,0.991453,0.990741,0.990725
63,0.008013,0.028336,0.990741,0.991453,0.990741,0.990725
64,0.043058,0.026566,0.995370,0.995726,0.995370,0.995362
65,0.125849,0.028458,0.995370,0.995726,0.995370,0.995362
66,0.014053,0.031281,0.995370,0.995726,0.995370,0.995362
67,0.038632,0.037445,0.995370,0.995726,0.995370,0.995362
68,0.042835,0.041901,0.995370,0.995726,0.995370,0.995362
69,0.016642,0.049683,0.986111,0.987179,0.986111,0.985867
70,0.053394,0.054413,0.990741,0.991453,0.990741,0.990725
71,0.003475,0.055115,0.990741,0.991453,0.990741,0.990725
72,0.026930,0.055328,0.990741,0.991453,0.990741,0.990725
73,0.005084,0.047119,0.986111,0.987179,0.986111,0.986087
74,0.015341,0.043945,0.986111,0.987179,0.986111,0.986087
75,0.003732,0.043915,0.990741,0.991453,0.990741,0.990725
76,0.095445,0.045410,0.990741,0.991453,0.990741,0.990725
77,0.002778,0.052795,0.990741,0.991453,0.990741,0.990725
78,0.035124,0.053772,0.986111,0.987179,0.986111,0.985867
79,0.103074,0.051727,0.986111,0.987179,0.986111,0.985867
80,0.005131,0.051636,0.986111,0.987179,0.986111,0.985867
81,0.063826,0.042053,0.986111,0.987179,0.986111,0.985867
82,0.017859,0.032318,0.990741,0.991453,0.990741,0.990725
83,0.004171,0.025284,0.990741,0.991453,0.990741,0.990725
84,0.002632,0.027176,0.990741,0.991453,0.990741,0.990725
85,0.070561,0.035583,0.990741,0.991453,0.990741,0.990725
86,0.061492,0.038544,0.990741,0.991453,0.990741,0.990725
87,0.009941,0.039154,0.990741,0.991453,0.990741,0.990725
88,0.059765,0.040680,0.990741,0.991453,0.990741,0.990725
89,0.005099,0.037933,0.990741,0.991453,0.990741,0.990725
90,0.001656,0.037201,0.990741,0.991453,0.990741,0.990725
91,0.092706,0.041168,0.990741,0.991453,0.990741,0.990725
92,0.005799,0.042633,0.990741,0.991453,0.990741,0.990725
93,0.098639,0.045135,0.990741,0.991453,0.990741,0.990725
94,0.059237,0.042755,0.990741,0.991453,0.990741,0.990725
95,0.033329,0.042175,0.990741,0.991453,0.990741,0.990725
96,0.003342,0.042206,0.990741,0.991453,0.990741,0.990725
97,0.033969,0.042236,0.990741,0.991453,0.990741,0.990725
98,0.095100,0.040039,0.990741,0.991453,0.990741,0.990725
99,0.026242,0.037750,0.990741,0.991453,0.990741,0.990725
100,0.027947,0.036987,0.990741,0.991453,0.990741,0.990725
101,0.005598,0.043091,0.990741,0.991453,0.990741,0.990725
102,0.066042,0.048126,0.990741,0.991453,0.990741,0.990725
103,0.019339,0.047516,0.990741,0.991453,0.990741,0.990725
104,0.049712,0.044586,0.990741,0.991453,0.990741,0.990725
105,0.000923,0.045563,0.990741,0.991453,0.990741,0.990725
106,0.051707,0.048065,0.990741,0.991453,0.990741,0.990725
107,0.009535,0.047516,0.990741,0.991453,0.990741,0.990725
108,0.003551,0.050385,0.990741,0.991453,0.990741,0.990725
109,0.002514,0.052246,0.990741,0.991453,0.990741,0.990725
110,0.009339,0.051666,0.990741,0.991453,0.990741,0.990725
111,0.021087,0.054688,0.990741,0.991453,0.990741,0.990725
112,0.001255,0.057098,0.990741,0.991453,0.990741,0.990725
113,0.003485,0.058258,0.990741,0.991453,0.990741,0.990725
114,0.183860,0.060181,0.990741,0.991453,0.990741,0.990725
114,0.183860,0.060181,0.990741,0.991453,0.990741,0.990725
