epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro
1,3.042461,2.912109,0.032407,0.038844,0.032407,0.029494
2,2.846250,2.835938,0.041667,0.039433,0.041667,0.037398
3,2.762031,2.673828,0.194444,0.226630,0.194444,0.163079
4,2.491152,2.433594,0.453704,0.538694,0.453704,0.439251
5,2.357124,2.121094,0.666667,0.690356,0.666667,0.656693
6,1.996444,1.792969,0.805556,0.820609,0.805556,0.804731
7,1.776918,1.355469,0.870370,0.881617,0.870370,0.869430
8,1.418664,0.893555,0.888889,0.902803,0.888889,0.887964
9,0.972015,0.532227,0.921296,0.931028,0.921296,0.921381
10,0.716999,0.282471,0.939815,0.943888,0.939815,0.939807
11,0.314871,0.177124,0.958333,0.960724,0.958333,0.958464
12,0.153886,0.132935,0.972222,0.973582,0.972222,0.971981
13,0.184960,0.097656,0.972222,0.976068,0.972222,0.972229
14,0.286937,0.066772,0.986111,0.987179,0.986111,0.985867
15,0.130259,0.052551,0.986111,0.987179,0.986111,0.985867
16,0.071270,0.056458,0.981481,0.982906,0.981481,0.980759
17,0.058469,0.044037,0.981481,0.982906,0.981481,0.980759
18,0.182714,0.036224,0.986111,0.987179,0.986111,0.986087
19,0.040981,0.047119,0.986111,0.986823,0.986111,0.986095
20,0.027280,0.050232,0.986111,0.986823,0.986111,0.986095
21,0.217017,0.043335,0.986111,0.987790,0.986111,0.986258
22,0.025856,0.047333,0.990741,0.991453,0.990741,0.990725
23,0.059752,0.041229,0.986111,0.987179,0.986111,0.986087
24,0.054702,0.027237,0.990741,0.991453,0.990741,0.990725
25,0.077662,0.032196,0.986111,0.987179,0.986111,0.985867
26,0.040349,0.034912,0.990741,0.991453,0.990741,0.990725
27,0.052336,0.033386,0.995370,0.995726,0.995370,0.995362
28,0.172425,0.028275,0.990741,0.991453,0.990741,0.990725
29,0.027303,0.018051,0.990741,0.991453,0.990741,0.990725
30,0.078135,0.007248,1.000000,1.000000,1.000000,1.000000
31,0.215707,0.013039,0.995370,0.995726,0.995370,0.995362
32,0.051664,0.012718,1.000000,1.000000,1.000000,1.000000
33,0.108571,0.017685,0.995370,0.995726,0.995370,0.995362
34,0.036276,0.024826,0.995370,0.995726,0.995370,0.995362
35,0.024626,0.024521,0.995370,0.995726,0.995370,0.995362
36,0.011206,0.025009,0.995370,0.995726,0.995370,0.995362
37,0.018868,0.028366,0.995370,0.995726,0.995370,0.995362
38,0.049321,0.028214,0.990741,0.991453,0.990741,0.990725
39,0.079277,0.025101,0.990741,0.991453,0.990741,0.990725
40,0.109474,0.029602,0.995370,0.995726,0.995370,0.995362
41,0.010881,0.038208,0.990741,0.991453,0.990741,0.990505
42,0.062386,0.035431,0.995370,0.995726,0.995370,0.995362
43,0.043296,0.043488,0.990741,0.991453,0.990741,0.990725
44,0.042617,0.034607,0.995370,0.995726,0.995370,0.995362
45,0.026906,0.032654,0.995370,0.995726,0.995370,0.995362
46,0.030636,0.032715,0.995370,0.995726,0.995370,0.995362
47,0.031389,0.028229,0.995370,0.995726,0.995370,0.995362
48,0.014053,0.047546,0.990741,0.991453,0.990741,0.990725
49,0.120134,0.061920,0.986111,0.987179,0.986111,0.985867
50,0.012572,0.057587,0.986111,0.987179,0.986111,0.985867
51,0.045847,0.062988,0.990741,0.991453,0.990741,0.990725
52,0.024637,0.060577,0.995370,0.995726,0.995370,0.995362
53,0.244303,0.065063,0.986111,0.987179,0.986111,0.986087
54,0.172014,0.073914,0.986111,0.987179,0.986111,0.986087
55,0.008574,0.070557,0.990741,0.991453,0.990741,0.990725
56,0.333412,0.063904,0.990741,0.991453,0.990741,0.990725
57,0.038236,0.045898,0.990741,0.991453,0.990741,0.990725
58,0.017180,0.038452,0.990741,0.991453,0.990741,0.990725
59,0.091725,0.034790,0.986111,0.987179,0.986111,0.986087
60,0.005764,0.024551,0.986111,0.987179,0.986111,0.986087
61,0.006854,0.021423,0.986111,0.987179,0.986111,0.986087
62,0.034993,0.015404,0.986111,0.987179,0.986111,0.986087
63,0.068671,0.010452,0.995370,0.995726,0.995370,0.995362
64,0.038820,0.004883,1.000000,1.000000,1.000000,1.000000
65,0.033186,0.005405,1.000000,1.000000,1.000000,1.000000
66,0.031376,0.004047,1.000000,1.000000,1.000000,1.000000
67,0.003869,0.011909,0.995370,0.995726,0.995370,0.995362
68,0.008185,0.015244,0.995370,0.995726,0.995370,0.995362
69,0.041940,0.020462,0.995370,0.995726,0.995370,0.995362
70,0.003314,0.022308,0.995370,0.995726,0.995370,0.995362
71,0.011771,0.023544,0.995370,0.995726,0.995370,0.995362
72,0.031519,0.025208,0.995370,0.995726,0.995370,0.995362
73,0.010620,0.026810,0.990741,0.991453,0.990741,0.990725
74,0.047483,0.031647,0.990741,0.991453,0.990741,0.990725
75,0.006879,0.034424,0.990741,0.991453,0.990741,0.990725
76,0.070201,0.030807,0.990741,0.991453,0.990741,0.990725
77,0.003304,0.030151,0.986111,0.987179,0.986111,0.986087
78,0.007124,0.029846,0.986111,0.987179,0.986111,0.986087
79,0.063667,0.028610,0.986111,0.987179,0.986111,0.986087
80,0.004704,0.025436,0.986111,0.987179,0.986111,0.986087
80,0.004704,0.025436,0.986111,0.987179,0.986111,0.986087
