epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.76802,3.05479,0.10185,0.3287,2.93359,2.73e-05,2.73e-05,2.73e-05
2,16.6783,2.8068,0.21296,0.55093,2.64453,5.87596e-05,5.87596e-05,5.87596e-05
3,25.6861,2.45222,0.49537,0.83333,2.13672,8.97988e-05,8.97988e-05,8.97988e-05
4,34.7413,1.98583,0.72685,0.94907,1.58008,0.000120418,0.000120418,0.000120418
5,43.8445,1.45942,0.81481,0.98611,1.01855,0.000150616,0.000150616,0.000150616
6,52.8509,0.92346,0.89352,0.99074,0.5293,0.000180394,0.000180394,0.000180394
7,61.9372,0.52231,0.93056,1,0.30029,0.000209751,0.000209751,0.000209751
8,70.9319,0.32295,0.97222,1,0.11969,0.000238688,0.000238688,0.000238688
9,79.9182,0.26902,0.97685,1,0.0647,0.000267205,0.000267205,0.000267205
10,88.912,0.16066,0.99074,1,0.04169,0.000295301,0.000295301,0.000295301
11,97.8946,0.13304,0.93056,1,0.29395,0.000322977,0.000322977,0.000322977
12,106.919,0.08646,0.96759,1,0.08643,0.000350233,0.000350233,0.000350233
13,115.978,0.11026,0.97222,1,0.10767,0.000377068,0.000377068,0.000377068
14,124.922,0.09608,0.93056,1,0.13757,0.000403482,0.000403482,0.000403482
15,133.923,0.13358,0.98148,0.99537,0.05508,0.000412958,0.000412958,0.000412958
16,142.853,0.11201,0.98148,1,0.07141,0.000409955,0.000409955,0.000409955
17,151.798,0.13179,0.9537,1,0.14844,0.000406952,0.000406952,0.000406952
18,160.696,0.29677,0.96759,1,0.1366,0.000403949,0.000403949,0.000403949
19,169.643,0.17972,0.95833,1,0.09735,0.000400946,0.000400946,0.000400946
20,178.66,0.10794,0.90741,0.99537,0.37183,0.000397943,0.000397943,0.000397943
21,187.577,0.30631,0.96296,1,0.14343,0.00039494,0.00039494,0.00039494
22,196.554,0.10118,0.88889,0.99074,0.45044,0.000391937,0.000391937,0.000391937
23,205.535,0.21714,0.91667,0.99537,0.22607,0.000388934,0.000388934,0.000388934
24,214.522,0.16117,0.88426,1,0.31445,0.000385931,0.000385931,0.000385931
25,223.486,0.06618,0.9537,1,0.17957,0.000382928,0.000382928,0.000382928
26,232.421,0.09311,0.97222,1,0.07983,0.000379925,0.000379925,0.000379925
27,241.584,0.08881,0.97685,1,0.07092,0.000376922,0.000376922,0.000376922
28,250.601,0.13123,0.96296,1,0.14526,0.000373919,0.000373919,0.000373919
29,259.605,0.10397,0.90741,1,0.51123,0.000370916,0.000370916,0.000370916
30,268.544,0.17813,0.96296,1,0.09442,0.000367913,0.000367913,0.000367913
31,277.528,0.13848,0.97685,1,0.08557,0.00036491,0.00036491,0.00036491
32,286.46,0.41771,0.90741,0.99074,0.31909,0.000361907,0.000361907,0.000361907
33,295.431,0.08705,0.94444,1,0.16675,0.000358904,0.000358904,0.000358904
34,304.361,0.04591,0.98148,1,0.12891,0.000355901,0.000355901,0.000355901
35,313.535,0.11918,0.97685,1,0.13965,0.000352898,0.000352898,0.000352898
36,322.51,0.22893,0.99074,1,0.03937,0.000349895,0.000349895,0.000349895
37,331.522,0.04838,0.99537,1,0.02463,0.000346892,0.000346892,0.000346892
38,340.534,0.2334,0.98611,1,0.05081,0.000343889,0.000343889,0.000343889
39,349.456,0.35109,0.98148,1,0.0777,0.000340886,0.000340886,0.000340886
40,358.441,0.05325,1,1,0.01265,0.000337883,0.000337883,0.000337883
41,367.449,0.29619,0.99537,1,0.01196,0.00033488,0.00033488,0.00033488
42,376.585,0.04804,0.97222,1,0.08411,0.000331877,0.000331877,0.000331877
43,385.603,0.15923,0.99074,1,0.02751,0.000328874,0.000328874,0.000328874
44,394.597,0.11875,0.98148,1,0.06757,0.000325871,0.000325871,0.000325871
45,403.578,0.18514,0.98611,1,0.03741,0.000322868,0.000322868,0.000322868
46,412.57,0.10232,0.98148,1,0.05768,0.000319865,0.000319865,0.000319865
47,421.468,0.17631,0.96759,1,0.09979,0.000316862,0.000316862,0.000316862
48,430.422,0.14302,0.95833,1,0.146,0.000313859,0.000313859,0.000313859
49,439.481,0.27338,0.9537,1,0.13501,0.000310856,0.000310856,0.000310856
50,448.486,0.07034,0.95833,1,0.14441,0.000307853,0.000307853,0.000307853
51,457.435,0.06566,0.98148,1,0.07135,0.00030485,0.00030485,0.00030485
52,466.398,0.12008,0.99074,1,0.06512,0.000301847,0.000301847,0.000301847
53,475.387,0.03179,0.99074,1,0.04968,0.000298844,0.000298844,0.000298844
54,484.344,0.15817,0.98611,1,0.02391,0.000295841,0.000295841,0.000295841
55,493.304,0.02358,0.99074,1,0.01994,0.000292838,0.000292838,0.000292838
56,502.266,0.08013,1,1,0.00778,0.000289835,0.000289835,0.000289835
57,511.391,0.06501,1,1,0.01316,0.000286832,0.000286832,0.000286832
58,520.354,0.22669,0.99074,1,0.03754,0.000283829,0.000283829,0.000283829
59,529.35,0.18506,0.97685,0.99537,0.09583,0.000280826,0.000280826,0.000280826
60,538.32,0.17914,0.96296,0.99074,0.13586,0.000277823,0.000277823,0.000277823
61,547.316,0.07733,0.95833,0.99074,0.11945,0.00027482,0.00027482,0.00027482
62,556.299,0.0598,0.97685,1,0.05618,0.000271817,0.000271817,0.000271817
63,565.263,0.02188,0.98611,1,0.02892,0.000268814,0.000268814,0.000268814
64,574.428,0.12627,0.98611,1,0.02939,0.000265811,0.000265811,0.000265811
65,583.435,0.18763,1,1,0.01308,0.000262808,0.000262808,0.000262808
66,592.43,0.04534,1,1,0.01122,0.000259805,0.000259805,0.000259805
67,601.438,0.08269,1,1,0.01825,0.000256802,0.000256802,0.000256802
68,610.398,0.06412,0.97685,1,0.07501,0.000253799,0.000253799,0.000253799
69,619.392,0.07819,0.97222,1,0.08954,0.000250796,0.000250796,0.000250796
70,628.312,0.04519,0.99074,1,0.0237,0.000247793,0.000247793,0.000247793
71,637.325,0.10107,0.98611,1,0.03186,0.00024479,0.00024479,0.00024479
72,646.38,0.0446,0.99537,1,0.02776,0.000241787,0.000241787,0.000241787
73,655.408,0.37191,0.99537,1,0.01064,0.000238784,0.000238784,0.000238784
74,664.289,0.03603,0.99537,1,0.00688,0.000235781,0.000235781,0.000235781
75,673.301,0.05746,0.99074,1,0.02461,0.000232778,0.000232778,0.000232778
76,682.214,0.03874,0.98148,1,0.10376,0.000229775,0.000229775,0.000229775
77,691.182,0.21661,0.97222,1,0.09473,0.000226772,0.000226772,0.000226772
78,700.186,0.11377,0.98148,1,0.06628,0.000223769,0.000223769,0.000223769
79,709.377,0.08261,0.94907,0.99537,0.29004,0.000220766,0.000220766,0.000220766
80,718.345,0.04329,0.97222,1,0.10931,0.000217763,0.000217763,0.000217763
81,727.314,0.18815,0.98148,1,0.07025,0.00021476,0.00021476,0.00021476
82,736.227,0.14657,0.99537,1,0.03656,0.000211757,0.000211757,0.000211757
83,745.203,0.09802,0.99537,1,0.0332,0.000208754,0.000208754,0.000208754
84,754.199,0.03597,0.94907,0.99537,0.14905,0.000205751,0.000205751,0.000205751
85,763.17,0.13978,0.94907,1,0.16016,0.000202748,0.000202748,0.000202748
86,772.255,0.04158,0.94444,1,0.23352,0.000199745,0.000199745,0.000199745
87,781.299,0.1736,0.97222,1,0.14612,0.000196742,0.000196742,0.000196742
88,790.288,0.12827,0.97685,1,0.07825,0.000193739,0.000193739,0.000193739
89,799.254,0.0398,0.97222,1,0.10529,0.000190736,0.000190736,0.000190736
90,808.226,0.21822,0.97222,1,0.1059,0.000187733,0.000187733,0.000187733
