epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.51914,3.00682,0.07407,0.3287,2.9707,2.73e-05,2.73e-05,2.73e-05
2,11.8605,2.81871,0.19444,0.49074,2.65039,5.87596e-05,5.87596e-05,5.87596e-05
3,18.2974,2.50953,0.39815,0.7963,2.17383,8.97988e-05,8.97988e-05,8.97988e-05
4,24.6652,2.10631,0.62963,0.95833,1.57617,0.000120418,0.000120418,0.000120418
5,30.994,1.65277,0.75,0.99537,1.01953,0.000150616,0.000150616,0.000150616
6,37.5945,1.04995,0.87037,0.99074,0.49585,0.000180394,0.000180394,0.000180394
7,43.9697,0.79007,0.93519,0.99074,0.23767,0.000209751,0.000209751,0.000209751
8,50.3244,0.50261,0.9537,1,0.1615,0.000238688,0.000238688,0.000238688
9,56.6193,0.55209,0.94444,0.99537,0.24268,0.000267205,0.000267205,0.000267205
10,62.9608,0.33071,0.94907,1,0.10742,0.000295301,0.000295301,0.000295301
11,69.2687,0.52359,0.98611,1,0.03897,0.000322977,0.000322977,0.000322977
12,75.579,0.25184,0.97685,1,0.08551,0.000350233,0.000350233,0.000350233
13,81.8579,0.25569,0.97685,1,0.09387,0.000377068,0.000377068,0.000377068
14,88.1817,0.26673,0.97222,1,0.07477,0.000403482,0.000403482,0.000403482
15,94.4613,0.20778,0.96759,1,0.09192,0.000412958,0.000412958,0.000412958
16,100.805,0.39327,0.91204,1,0.33569,0.000409955,0.000409955,0.000409955
17,107.107,0.33435,0.93056,1,0.22961,0.000406952,0.000406952,0.000406952
18,113.411,0.39119,0.91667,0.99074,0.25903,0.000403949,0.000403949,0.000403949
19,119.654,0.328,0.95833,1,0.17871,0.000400946,0.000400946,0.000400946
20,125.925,0.21019,0.97222,1,0.12744,0.000397943,0.000397943,0.000397943
21,132.144,0.3544,0.86111,0.99537,0.77881,0.00039494,0.00039494,0.00039494
22,138.338,0.15635,0.97685,1,0.08838,0.000391937,0.000391937,0.000391937
23,144.646,0.2795,0.99074,1,0.02637,0.000388934,0.000388934,0.000388934
24,151.024,0.36023,0.99537,1,0.02673,0.000385931,0.000385931,0.000385931
25,157.368,0.1641,0.97685,1,0.05847,0.000382928,0.000382928,0.000382928
26,163.621,0.23579,0.97222,1,0.11163,0.000379925,0.000379925,0.000379925
27,170.053,0.15572,0.98611,1,0.05899,0.000376922,0.000376922,0.000376922
28,176.368,0.1748,0.98611,1,0.0332,0.000373919,0.000373919,0.000373919
29,182.681,0.35611,0.98148,1,0.05127,0.000370916,0.000370916,0.000370916
30,188.986,0.2186,0.95833,0.99537,0.13184,0.000367913,0.000367913,0.000367913
31,195.206,0.34933,0.93981,0.99537,0.18384,0.00036491,0.00036491,0.00036491
32,201.55,0.59969,0.95833,1,0.16101,0.000361907,0.000361907,0.000361907
33,207.796,0.36805,0.96759,1,0.14014,0.000358904,0.000358904,0.000358904
34,214.06,0.17694,0.98611,1,0.05276,0.000355901,0.000355901,0.000355901
35,220.409,0.11125,0.98148,1,0.06287,0.000352898,0.000352898,0.000352898
36,226.697,0.34408,0.95833,1,0.23438,0.000349895,0.000349895,0.000349895
37,233.035,0.28434,0.9537,1,0.15674,0.000346892,0.000346892,0.000346892
38,239.508,0.20977,0.94907,1,0.27222,0.000343889,0.000343889,0.000343889
39,245.811,0.27886,0.93981,1,0.20813,0.000340886,0.000340886,0.000340886
40,252.102,0.11628,0.97222,1,0.10883,0.000337883,0.000337883,0.000337883
41,258.431,0.22042,0.97222,1,0.14099,0.00033488,0.00033488,0.00033488
42,264.747,0.14201,0.98611,1,0.07971,0.000331877,0.000331877,0.000331877
43,271.09,0.14833,0.99537,1,0.03806,0.000328874,0.000328874,0.000328874
44,277.422,0.28128,0.99537,1,0.02271,0.000325871,0.000325871,0.000325871
45,283.803,0.09188,0.98611,1,0.03809,0.000322868,0.000322868,0.000322868
46,290.089,0.22355,0.98611,1,0.06247,0.000319865,0.000319865,0.000319865
47,296.445,0.16376,0.99074,1,0.01915,0.000316862,0.000316862,0.000316862
48,302.89,0.1892,0.99074,1,0.0719,0.000313859,0.000313859,0.000313859
49,309.188,0.2774,0.98611,1,0.02869,0.000310856,0.000310856,0.000310856
50,315.448,0.22174,0.96759,1,0.11804,0.000307853,0.000307853,0.000307853
51,321.734,0.21972,0.98148,1,0.04868,0.00030485,0.00030485,0.00030485
52,327.993,0.30087,1,1,0.01031,0.000301847,0.000301847,0.000301847
53,334.267,0.1419,1,1,0.01138,0.000298844,0.000298844,0.000298844
54,340.547,0.23302,0.99537,1,0.02144,0.000295841,0.000295841,0.000295841
55,346.746,0.07767,0.99074,1,0.03458,0.000292838,0.000292838,0.000292838
56,352.936,0.16791,0.98611,1,0.04453,0.000289835,0.000289835,0.000289835
