epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.48748,3.03173,0.0787,0.30093,2.97656,2.73e-05,2.73e-05,2.73e-05
2,11.7899,2.84335,0.15741,0.53241,2.64844,5.87596e-05,5.87596e-05,5.87596e-05
3,18.0975,2.49944,0.43981,0.82407,2.17773,8.97988e-05,8.97988e-05,8.97988e-05
4,24.4366,2.10832,0.59722,0.97222,1.62988,0.000120418,0.000120418,0.000120418
5,30.7166,1.64802,0.72685,0.98611,1.10938,0.000150616,0.000150616,0.000150616
6,36.9904,1.0962,0.85648,0.99537,0.56787,0.000180394,0.000180394,0.000180394
7,43.3485,0.77963,0.91667,0.99537,0.2749,0.000209751,0.000209751,0.000209751
8,49.65,0.55082,0.95833,1,0.17322,0.000238688,0.000238688,0.000238688
9,55.9158,0.45201,0.94907,1,0.1814,0.000267205,0.000267205,0.000267205
10,62.1438,0.29505,0.96296,1,0.09869,0.000295301,0.000295301,0.000295301
11,68.4058,0.41679,0.97685,1,0.04584,0.000322977,0.000322977,0.000322977
12,74.717,0.27665,0.96759,1,0.10876,0.000350233,0.000350233,0.000350233
13,80.9926,0.27596,0.97222,1,0.08484,0.000377068,0.000377068,0.000377068
14,87.2624,0.3789,0.93056,1,0.1803,0.000403482,0.000403482,0.000403482
15,93.495,0.31377,0.9213,1,0.20801,0.000412958,0.000412958,0.000412958
16,99.7276,0.18104,0.96296,1,0.14355,0.000409955,0.000409955,0.000409955
17,106.053,0.28786,0.96759,1,0.08966,0.000406952,0.000406952,0.000406952
18,112.53,0.24574,0.95833,0.99537,0.11115,0.000403949,0.000403949,0.000403949
19,118.702,0.35188,0.99074,1,0.04633,0.000400946,0.000400946,0.000400946
20,124.973,0.18229,0.98148,1,0.09546,0.000397943,0.000397943,0.000397943
21,131.197,0.41135,0.95833,1,0.16113,0.00039494,0.00039494,0.00039494
22,137.449,0.22932,0.94444,1,0.20691,0.000391937,0.000391937,0.000391937
23,143.801,0.4296,1,1,0.03061,0.000388934,0.000388934,0.000388934
24,150.174,0.19309,0.9213,0.99537,0.18298,0.000385931,0.000385931,0.000385931
25,156.414,0.23931,0.97685,1,0.07758,0.000382928,0.000382928,0.000382928
26,162.63,0.26511,1,1,0.01525,0.000379925,0.000379925,0.000379925
27,168.888,0.13729,0.99537,1,0.02197,0.000376922,0.000376922,0.000376922
28,175.224,0.18455,0.98611,1,0.06113,0.000373919,0.000373919,0.000373919
29,181.588,0.30326,0.99537,1,0.01642,0.000370916,0.000370916,0.000370916
30,187.942,0.27566,0.99074,1,0.03854,0.000367913,0.000367913,0.000367913
31,194.263,0.17521,0.97222,1,0.07953,0.00036491,0.00036491,0.00036491
