epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.19514,3.07315,0.06481,0.38426,2.91016,2.73e-05,2.73e-05,2.73e-05
2,11.2337,2.82316,0.21296,0.62037,2.50195,5.87596e-05,5.87596e-05,5.87596e-05
3,17.3165,2.45579,0.55093,0.88889,1.97461,8.97988e-05,8.97988e-05,8.97988e-05
4,23.3062,1.96451,0.75,0.96759,1.35254,0.000120418,0.000120418,0.000120418
5,29.3772,1.39354,0.86111,0.99074,0.72998,0.000150616,0.000150616,0.000150616
6,35.5238,0.89049,0.91667,0.99537,0.41797,0.000180394,0.000180394,0.000180394
7,41.7644,0.4899,0.93519,0.99537,0.24353,0.000209751,0.000209751,0.000209751
8,47.7793,0.40383,0.95833,1,0.13989,0.000238688,0.000238688,0.000238688
9,53.759,0.37956,0.9537,1,0.1181,0.000267205,0.000267205,0.000267205
10,59.7195,0.22672,0.96296,1,0.12573,0.000295301,0.000295301,0.000295301
11,65.7706,0.26371,0.98148,1,0.07227,0.000322977,0.000322977,0.000322977
12,71.8222,0.19285,0.97685,1,0.08752,0.000350233,0.000350233,0.000350233
13,77.8361,0.1492,0.9537,1,0.12561,0.000377068,0.000377068,0.000377068
14,83.7869,0.18456,0.98611,1,0.06104,0.000403482,0.000403482,0.000403482
15,89.8268,0.11227,0.97222,1,0.06952,0.000412958,0.000412958,0.000412958
16,95.7825,0.2521,0.98148,1,0.04568,0.000409955,0.000409955,0.000409955
17,101.951,0.19429,0.98148,1,0.09052,0.000406952,0.000406952,0.000406952
18,108.057,0.29703,0.98148,0.99537,0.08209,0.000403949,0.000403949,0.000403949
19,114.026,0.19165,0.98611,1,0.05273,0.000400946,0.000400946,0.000400946
20,120.006,0.0601,0.96759,1,0.07715,0.000397943,0.000397943,0.000397943
21,126.028,0.2172,0.98611,1,0.05029,0.00039494,0.00039494,0.00039494
22,132.111,0.10661,0.95833,0.99537,0.11108,0.000391937,0.000391937,0.000391937
23,138.166,0.17943,0.96296,0.99537,0.12012,0.000388934,0.000388934,0.000388934
24,144.137,0.14562,0.96296,1,0.09033,0.000385931,0.000385931,0.000385931
25,150.134,0.10023,0.96296,1,0.14502,0.000382928,0.000382928,0.000382928
26,156.149,0.21917,0.96296,1,0.12732,0.000379925,0.000379925,0.000379925
27,162.209,0.12201,0.96759,0.99537,0.15784,0.000376922,0.000376922,0.000376922
