epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.72378,3.03457,0.06944,0.33796,2.92383,2.73e-05,2.73e-05,2.73e-05
2,12.2041,2.80246,0.19907,0.62963,2.50781,5.87596e-05,5.87596e-05,5.87596e-05
3,18.6472,2.38406,0.54167,0.89352,1.95703,8.97988e-05,8.97988e-05,8.97988e-05
4,25.0734,1.93422,0.78241,0.96759,1.32324,0.000120418,0.000120418,0.000120418
5,31.5766,1.40076,0.88426,0.99074,0.72217,0.000150616,0.000150616,0.000150616
6,38.1235,0.88779,0.92593,0.99074,0.36206,0.000180394,0.000180394,0.000180394
7,44.5461,0.49917,0.93981,0.99537,0.23743,0.000209751,0.000209751,0.000209751
8,50.9975,0.31019,0.94907,1,0.15356,0.000238688,0.000238688,0.000238688
9,57.3739,0.34965,0.95833,1,0.10028,0.000267205,0.000267205,0.000267205
10,63.8083,0.24359,0.97222,0.99537,0.13293,0.000295301,0.000295301,0.000295301
11,70.1818,0.21876,0.97685,1,0.11066,0.000322977,0.000322977,0.000322977
12,76.6285,0.14648,0.97685,1,0.06198,0.000350233,0.000350233,0.000350233
13,83.0466,0.18493,0.96759,0.99537,0.09827,0.000377068,0.000377068,0.000377068
14,89.4264,0.15587,0.97685,1,0.10889,0.000403482,0.000403482,0.000403482
15,95.8173,0.22504,0.94444,0.99537,0.21045,0.000412958,0.000412958,0.000412958
16,102.14,0.20997,0.97222,0.99537,0.12927,0.000409955,0.000409955,0.000409955
17,108.55,0.15254,0.99074,1,0.0556,0.000406952,0.000406952,0.000406952
18,114.965,0.13993,0.95833,1,0.16064,0.000403949,0.000403949,0.000403949
19,121.352,0.22739,0.96759,1,0.09521,0.000400946,0.000400946,0.000400946
20,127.664,0.11815,0.98148,1,0.05734,0.000397943,0.000397943,0.000397943
21,134.027,0.27206,0.98611,1,0.06372,0.00039494,0.00039494,0.00039494
22,140.267,0.07121,0.99074,1,0.02182,0.000391937,0.000391937,0.000391937
23,146.722,0.18045,0.99537,1,0.02264,0.000388934,0.000388934,0.000388934
24,153.167,0.08521,0.97685,1,0.07135,0.000385931,0.000385931,0.000385931
25,159.525,0.11522,0.98611,1,0.05017,0.000382928,0.000382928,0.000382928
26,165.885,0.14484,0.99074,1,0.06549,0.000379925,0.000379925,0.000379925
27,172.27,0.15811,0.98611,1,0.07343,0.000376922,0.000376922,0.000376922
28,178.61,0.22275,0.97222,1,0.0979,0.000373919,0.000373919,0.000373919
29,185.104,0.09772,0.97685,1,0.04529,0.000370916,0.000370916,0.000370916
30,191.548,0.17084,1,1,0.0095,0.000367913,0.000367913,0.000367913
31,197.902,0.2304,0.97685,1,0.10236,0.00036491,0.00036491,0.00036491
32,204.361,0.52278,0.99074,1,0.0585,0.000361907,0.000361907,0.000361907
33,210.686,0.14257,0.98611,1,0.04681,0.000358904,0.000358904,0.000358904
34,217.016,0.17145,0.98148,1,0.0777,0.000355901,0.000355901,0.000355901
35,223.371,0.18541,0.98148,1,0.08307,0.000352898,0.000352898,0.000352898
36,229.772,0.27712,0.98148,1,0.07074,0.000349895,0.000349895,0.000349895
37,236.092,0.14604,0.98611,1,0.04974,0.000346892,0.000346892,0.000346892
38,242.373,0.17251,0.97685,1,0.08405,0.000343889,0.000343889,0.000343889
39,248.732,0.11986,0.96296,1,0.10803,0.000340886,0.000340886,0.000340886
40,255.286,0.04769,0.97685,1,0.13293,0.000337883,0.000337883,0.000337883
41,261.716,0.21324,0.99074,1,0.04404,0.00033488,0.00033488,0.00033488
42,268.105,0.21073,0.97222,1,0.1095,0.000331877,0.000331877,0.000331877
43,274.454,0.08384,0.96759,1,0.1864,0.000328874,0.000328874,0.000328874
44,280.84,0.1283,0.97222,1,0.14417,0.000325871,0.000325871,0.000325871
45,287.25,0.09895,0.99074,0.99537,0.02477,0.000322868,0.000322868,0.000322868
46,293.622,0.38496,0.99074,0.99537,0.06335,0.000319865,0.000319865,0.000319865
47,300.005,0.18868,0.97685,1,0.05896,0.000316862,0.000316862,0.000316862
48,306.332,0.21815,0.97685,1,0.07379,0.000313859,0.000313859,0.000313859
49,312.665,0.17882,0.96759,1,0.06683,0.000310856,0.000310856,0.000310856
50,319.181,0.10328,0.98611,1,0.04385,0.000307853,0.000307853,0.000307853
51,325.627,0.14299,0.99074,1,0.02425,0.00030485,0.00030485,0.00030485
52,331.971,0.30679,0.98148,1,0.05051,0.000301847,0.000301847,0.000301847
53,338.337,0.05356,0.98611,1,0.03111,0.000298844,0.000298844,0.000298844
54,344.726,0.29753,0.99537,1,0.02083,0.000295841,0.000295841,0.000295841
55,351.142,0.05365,0.99537,1,0.01136,0.000292838,0.000292838,0.000292838
56,357.509,0.0592,0.99537,1,0.01252,0.000289835,0.000289835,0.000289835
57,363.85,0.02879,0.98148,1,0.08008,0.000286832,0.000286832,0.000286832
58,370.174,0.24161,0.98148,1,0.07477,0.000283829,0.000283829,0.000283829
59,376.591,0.19841,0.99074,0.99537,0.04428,0.000280826,0.000280826,0.000280826
60,383.118,0.15628,0.97685,0.99537,0.05972,0.000277823,0.000277823,0.000277823
61,389.564,0.09316,0.97685,0.99537,0.06921,0.00027482,0.00027482,0.00027482
62,395.887,0.15534,0.98611,1,0.04651,0.000271817,0.000271817,0.000271817
63,402.224,0.03073,0.98611,1,0.02557,0.000268814,0.000268814,0.000268814
64,408.624,0.05691,0.99074,1,0.02133,0.000265811,0.000265811,0.000265811
65,415.06,0.10338,0.98148,1,0.09595,0.000262808,0.000262808,0.000262808
66,421.445,0.04832,0.99074,1,0.02412,0.000259805,0.000259805,0.000259805
67,427.837,0.27195,0.98611,1,0.02019,0.000256802,0.000256802,0.000256802
68,434.205,0.0655,1,1,0.00964,0.000253799,0.000253799,0.000253799
69,440.583,0.07108,0.97222,1,0.12817,0.000250796,0.000250796,0.000250796
70,446.952,0.12515,0.98611,1,0.03906,0.000247793,0.000247793,0.000247793
71,453.39,0.12461,0.99074,1,0.04413,0.00024479,0.00024479,0.00024479
72,459.789,0.05386,0.98611,1,0.08008,0.000241787,0.000241787,0.000241787
73,466.158,0.23547,0.99074,1,0.10712,0.000238784,0.000238784,0.000238784
74,472.528,0.13205,0.99074,1,0.10101,0.000235781,0.000235781,0.000235781
75,478.901,0.02709,0.98611,1,0.07593,0.000232778,0.000232778,0.000232778
76,485.253,0.04695,0.98611,1,0.07452,0.000229775,0.000229775,0.000229775
77,491.551,0.26925,0.98611,1,0.0545,0.000226772,0.000226772,0.000226772
78,497.945,0.06004,0.98148,1,0.02753,0.000223769,0.000223769,0.000223769
79,504.312,0.14875,0.98148,1,0.06763,0.000220766,0.000220766,0.000220766
80,510.688,0.1714,0.94444,1,0.12158,0.000217763,0.000217763,0.000217763
