epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.61686,2.92717,0.06944,0.30556,2.91602,2.275e-05,2.275e-05,2.275e-05
2,16.6733,2.89621,0.09259,0.37963,2.83203,4.97197e-05,4.97197e-05,4.97197e-05
3,25.8425,2.80169,0.2037,0.56481,2.69922,7.6329e-05,7.6329e-05,7.6329e-05
4,35.0671,2.67288,0.39815,0.76852,2.5293,0.000102578,0.000102578,0.000102578
5,44.1547,2.50971,0.58796,0.91667,2.29883,0.000128467,0.000128467,0.000128467
6,53.2778,2.28304,0.74537,0.97685,2.02148,0.000153995,0.000153995,0.000153995
7,62.5777,1.99062,0.83796,0.99074,1.69531,0.000179163,0.000179163,0.000179163
8,71.7583,1.66699,0.87037,1,1.28809,0.00020397,0.00020397,0.00020397
9,80.9601,1.2787,0.89815,1,0.85205,0.000228417,0.000228417,0.000228417
10,90.0626,0.87751,0.93519,1,0.48389,0.000252504,0.000252504,0.000252504
11,99.2169,0.51921,0.96296,1,0.2749,0.00027623,0.00027623,0.00027623
12,108.39,0.26274,0.97685,1,0.16919,0.000299597,0.000299597,0.000299597
13,117.544,0.17699,0.99074,1,0.10461,0.000322602,0.000322602,0.000322602
14,126.778,0.10784,0.99537,1,0.06598,0.000345248,0.000345248,0.000345248
15,136.014,0.05795,0.99074,1,0.05292,0.000367533,0.000367533,0.000367533
16,145.101,0.05312,0.99074,1,0.05212,0.000389457,0.000389457,0.000389457
17,154.196,0.03045,0.98611,1,0.05936,0.000406952,0.000406952,0.000406952
18,163.332,0.02682,0.98611,1,0.0481,0.000403949,0.000403949,0.000403949
19,172.385,0.03678,0.98611,1,0.03452,0.000400946,0.000400946,0.000400946
20,181.446,0.01977,1,1,0.0186,0.000397943,0.000397943,0.000397943
21,190.671,0.03195,1,1,0.01389,0.00039494,0.00039494,0.00039494
22,199.902,0.01379,0.99074,1,0.02368,0.000391937,0.000391937,0.000391937
23,208.991,0.01949,0.99537,1,0.02472,0.000388934,0.000388934,0.000388934
24,218.032,0.01429,0.99537,1,0.02422,0.000385931,0.000385931,0.000385931
25,227.094,0.02245,0.99074,1,0.02238,0.000382928,0.000382928,0.000382928
26,236.203,0.014,0.99537,1,0.01785,0.000379925,0.000379925,0.000379925
27,245.309,0.02832,0.99537,1,0.01723,0.000376922,0.000376922,0.000376922
28,254.447,0.03282,0.99537,1,0.02144,0.000373919,0.000373919,0.000373919
29,263.749,0.01947,0.99074,1,0.02802,0.000370916,0.000370916,0.000370916
30,272.853,0.01585,0.98611,1,0.03885,0.000367913,0.000367913,0.000367913
31,281.97,0.02976,0.99074,1,0.03677,0.00036491,0.00036491,0.00036491
32,291.105,0.01323,0.99537,1,0.02597,0.000361907,0.000361907,0.000361907
33,300.183,0.01721,1,1,0.00736,0.000358904,0.000358904,0.000358904
34,309.36,0.02545,1,1,0.00776,0.000355901,0.000355901,0.000355901
35,318.574,0.02308,0.99537,1,0.0264,0.000352898,0.000352898,0.000352898
36,327.791,0.01558,0.99074,1,0.04617,0.000349895,0.000349895,0.000349895
37,336.893,0.01406,0.98611,1,0.04288,0.000346892,0.000346892,0.000346892
38,345.991,0.00868,0.98611,1,0.04044,0.000343889,0.000343889,0.000343889
39,355.119,0.01032,0.98611,1,0.03378,0.000340886,0.000340886,0.000340886
40,364.271,0.00978,0.99074,1,0.02812,0.000337883,0.000337883,0.000337883
41,373.375,0.01139,0.99074,1,0.02249,0.00033488,0.00033488,0.00033488
42,382.513,0.00492,1,1,0.00941,0.000331877,0.000331877,0.000331877
43,391.705,0.00754,0.99537,1,0.01038,0.000328874,0.000328874,0.000328874
44,400.801,0.01039,0.99074,1,0.01677,0.000325871,0.000325871,0.000325871
45,409.956,0.00295,0.99074,1,0.02408,0.000322868,0.000322868,0.000322868
46,419.031,0.00636,0.99074,1,0.02853,0.000319865,0.000319865,0.000319865
47,428.117,0.01005,0.99074,1,0.03061,0.000316862,0.000316862,0.000316862
48,437.227,0.00529,0.99074,1,0.02908,0.000313859,0.000313859,0.000313859
49,446.262,0.00855,0.99074,1,0.03123,0.000310856,0.000310856,0.000310856
50,455.401,0.00552,0.99074,1,0.02957,0.000307853,0.000307853,0.000307853
51,464.675,0.02196,0.99074,1,0.03476,0.00030485,0.00030485,0.00030485
52,473.82,0.00431,0.99074,1,0.0423,0.000301847,0.000301847,0.000301847
53,482.909,0.00418,0.99074,1,0.04425,0.000298844,0.000298844,0.000298844
54,491.954,0.00984,0.98611,1,0.03918,0.000295841,0.000295841,0.000295841
55,501.032,0.00677,0.99074,1,0.03906,0.000292838,0.000292838,0.000292838
56,510.154,0.00688,0.99074,1,0.03885,0.000289835,0.000289835,0.000289835
57,519.136,0.00697,0.99537,1,0.03415,0.000286832,0.000286832,0.000286832
58,528.309,0.00771,0.99074,1,0.03531,0.000283829,0.000283829,0.000283829
59,537.397,0.0095,0.99074,1,0.03729,0.000280826,0.000280826,0.000280826
60,546.467,0.01241,0.98611,1,0.04391,0.000277823,0.000277823,0.000277823
