epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.65743,2.91851,0.05093,0.31481,2.9082,2.275e-05,2.275e-05,2.275e-05
2,16.8552,2.88013,0.11111,0.4213,2.83008,4.97197e-05,4.97197e-05,4.97197e-05
3,26.0558,2.79224,0.22685,0.5787,2.69922,7.6329e-05,7.6329e-05,7.6329e-05
4,35.2859,2.6469,0.39352,0.76852,2.51172,0.000102578,0.000102578,0.000102578
5,44.641,2.49363,0.58796,0.91204,2.26172,0.000128467,0.000128467,0.000128467
6,53.8727,2.23528,0.74074,0.98148,1.95117,0.000153995,0.000153995,0.000153995
7,63.0699,1.95713,0.85648,0.98611,1.58594,0.000179163,0.000179163,0.000179163
8,72.3766,1.6078,0.91667,0.99537,1.16504,0.00020397,0.00020397,0.00020397
9,81.618,1.20726,0.93981,0.99537,0.75146,0.000228417,0.000228417,0.000228417
10,90.8142,0.77487,0.9537,1,0.4397,0.000252504,0.000252504,0.000252504
11,100.097,0.45886,0.97222,1,0.23853,0.00027623,0.00027623,0.00027623
12,109.513,0.22759,0.98611,1,0.15564,0.000299597,0.000299597,0.000299597
13,118.779,0.1419,0.99074,1,0.09631,0.000322602,0.000322602,0.000322602
14,128.041,0.09089,0.99074,1,0.05423,0.000345248,0.000345248,0.000345248
15,137.283,0.07057,1,1,0.03229,0.000367533,0.000367533,0.000367533
16,146.443,0.03725,1,1,0.02376,0.000389457,0.000389457,0.000389457
17,155.682,0.05753,1,1,0.01889,0.000406952,0.000406952,0.000406952
18,164.896,0.03645,1,1,0.0199,0.000403949,0.000403949,0.000403949
19,174.328,0.03729,1,1,0.01432,0.000400946,0.000400946,0.000400946
20,183.571,0.03583,0.99537,1,0.01551,0.000397943,0.000397943,0.000397943
21,192.69,0.04038,0.99537,1,0.01648,0.00039494,0.00039494,0.00039494
22,201.812,0.02691,1,1,0.02315,0.000391937,0.000391937,0.000391937
23,211.101,0.02928,0.99537,1,0.01959,0.000388934,0.000388934,0.000388934
24,220.266,0.03288,1,1,0.01257,0.000385931,0.000385931,0.000385931
25,229.425,0.0289,1,1,0.00984,0.000382928,0.000382928,0.000382928
26,238.819,0.02135,0.99537,1,0.01139,0.000379925,0.000379925,0.000379925
27,247.952,0.01522,0.99537,1,0.02213,0.000376922,0.000376922,0.000376922
28,257.115,0.0257,0.99537,1,0.01511,0.000373919,0.000373919,0.000373919
29,266.296,0.03107,1,1,0.00922,0.000370916,0.000370916,0.000370916
30,275.576,0.0393,0.99074,1,0.03397,0.000367913,0.000367913,0.000367913
31,284.78,0.03831,0.99074,1,0.03485,0.00036491,0.00036491,0.00036491
32,294.013,0.01816,0.99074,1,0.03056,0.000361907,0.000361907,0.000361907
33,303.214,0.02417,0.99074,1,0.01947,0.000358904,0.000358904,0.000358904
34,312.477,0.02024,1,1,0.00883,0.000355901,0.000355901,0.000355901
35,321.654,0.01508,1,1,0.00587,0.000352898,0.000352898,0.000352898
36,330.94,0.01164,1,1,0.00625,0.000349895,0.000349895,0.000349895
37,340.242,0.00766,1,1,0.00523,0.000346892,0.000346892,0.000346892
38,349.425,0.01524,1,1,0.0055,0.000343889,0.000343889,0.000343889
39,358.665,0.00917,0.99537,1,0.0074,0.000340886,0.000340886,0.000340886
40,367.851,0.01156,1,1,0.00507,0.000337883,0.000337883,0.000337883
41,377.202,0.0105,1,1,0.00505,0.00033488,0.00033488,0.00033488
42,386.394,0.00436,1,1,0.00582,0.000331877,0.000331877,0.000331877
43,395.614,0.01199,1,1,0.0049,0.000328874,0.000328874,0.000328874
44,404.847,0.00836,1,1,0.0036,0.000325871,0.000325871,0.000325871
45,414.035,0.00318,1,1,0.00338,0.000322868,0.000322868,0.000322868
46,423.271,0.01286,1,1,0.00317,0.000319865,0.000319865,0.000319865
47,432.428,0.00536,1,1,0.00377,0.000316862,0.000316862,0.000316862
48,441.884,0.00749,1,1,0.00436,0.000313859,0.000313859,0.000313859
49,451.073,0.00667,1,1,0.0034,0.000310856,0.000310856,0.000310856
50,460.28,0.00653,1,1,0.00269,0.000307853,0.000307853,0.000307853
51,469.523,0.00445,1,1,0.00317,0.00030485,0.00030485,0.00030485
52,478.785,0.0114,1,1,0.00358,0.000301847,0.000301847,0.000301847
53,488.058,0.01591,1,1,0.00436,0.000298844,0.000298844,0.000298844
54,497.298,0.0065,0.99537,1,0.01248,0.000295841,0.000295841,0.000295841
55,506.654,0.00886,0.99537,1,0.01732,0.000292838,0.000292838,0.000292838
56,515.823,0.01982,0.99537,1,0.01791,0.000289835,0.000289835,0.000289835
57,525,0.01473,0.99537,1,0.01482,0.000286832,0.000286832,0.000286832
58,534.112,0.01265,0.99537,1,0.02194,0.000283829,0.000283829,0.000283829
59,543.213,0.02511,0.98611,1,0.02916,0.000280826,0.000280826,0.000280826
60,552.33,0.00657,0.99074,1,0.03513,0.000277823,0.000277823,0.000277823
61,561.43,0.01745,0.99537,1,0.01096,0.00027482,0.00027482,0.00027482
62,570.842,0.00557,1,1,0.00536,0.000271817,0.000271817,0.000271817
63,580.166,0.00361,1,1,0.00464,0.000268814,0.000268814,0.000268814
64,589.443,0.00678,1,1,0.005,0.000265811,0.000265811,0.000265811
65,598.658,0.0062,0.99537,1,0.0088,0.000262808,0.000262808,0.000262808
