epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.42496,2.91412,0.05093,0.33333,2.89258,2.275e-05,2.275e-05,2.275e-05
2,11.7142,2.86765,0.09259,0.38426,2.81641,4.97197e-05,4.97197e-05,4.97197e-05
3,17.9818,2.77602,0.21759,0.61574,2.66016,7.6329e-05,7.6329e-05,7.6329e-05
4,24.3868,2.6457,0.46296,0.85185,2.45508,0.000102578,0.000102578,0.000102578
5,30.651,2.46953,0.63426,0.91204,2.19141,0.000128467,0.000128467,0.000128467
6,36.9858,2.25007,0.71296,0.97222,1.83398,0.000153995,0.000153995,0.000153995
7,43.263,1.92568,0.74074,0.98148,1.41406,0.000179163,0.000179163,0.000179163
8,49.4747,1.59149,0.81019,0.98611,1.03125,0.00020397,0.00020397,0.00020397
9,55.7174,1.22159,0.86111,0.99537,0.67041,0.000228417,0.000228417,0.000228417
10,61.9472,0.90685,0.89815,0.99537,0.41406,0.000252504,0.000252504,0.000252504
11,68.2156,0.61437,0.93056,1,0.25513,0.00027623,0.00027623,0.00027623
12,74.4451,0.47979,0.96759,1,0.14319,0.000299597,0.000299597,0.000299597
13,80.6876,0.36443,0.98611,1,0.08038,0.000322602,0.000322602,0.000322602
14,86.9694,0.24989,0.98148,1,0.06586,0.000345248,0.000345248,0.000345248
15,93.3365,0.17805,0.98148,1,0.08575,0.000367533,0.000367533,0.000367533
16,99.5578,0.16076,0.97685,1,0.06769,0.000389457,0.000389457,0.000389457
17,105.798,0.13531,0.96296,1,0.10895,0.000406952,0.000406952,0.000406952
18,111.951,0.15904,0.98611,1,0.05908,0.000403949,0.000403949,0.000403949
19,118.157,0.12861,0.98611,1,0.03885,0.000400946,0.000400946,0.000400946
20,124.44,0.13384,0.98148,1,0.05374,0.000397943,0.000397943,0.000397943
21,130.619,0.11003,0.97222,1,0.09949,0.00039494,0.00039494,0.00039494
22,136.821,0.10689,0.97685,1,0.06396,0.000391937,0.000391937,0.000391937
23,142.976,0.08567,0.99537,1,0.02409,0.000388934,0.000388934,0.000388934
24,149.282,0.09135,1,1,0.01591,0.000385931,0.000385931,0.000385931
25,155.59,0.13796,0.98611,1,0.03647,0.000382928,0.000382928,0.000382928
26,161.769,0.11536,0.99074,1,0.0433,0.000379925,0.000379925,0.000379925
27,167.877,0.15996,0.98611,1,0.04895,0.000376922,0.000376922,0.000376922
28,174.098,0.07075,0.97222,1,0.0788,0.000373919,0.000373919,0.000373919
29,180.25,0.0907,0.99074,1,0.03278,0.000370916,0.000370916,0.000370916
30,186.455,0.05744,0.98611,1,0.02039,0.000367913,0.000367913,0.000367913
31,192.662,0.06011,0.99074,1,0.02052,0.00036491,0.00036491,0.00036491
32,198.863,0.05743,0.99074,1,0.02267,0.000361907,0.000361907,0.000361907
33,205.058,0.04601,0.99074,1,0.02258,0.000358904,0.000358904,0.000358904
34,211.293,0.04839,0.99537,1,0.01403,0.000355901,0.000355901,0.000355901
35,217.482,0.03419,1,1,0.01358,0.000352898,0.000352898,0.000352898
36,223.836,0.04977,0.99537,1,0.01492,0.000349895,0.000349895,0.000349895
37,230.059,0.05993,0.99074,1,0.02144,0.000346892,0.000346892,0.000346892
38,236.323,0.02426,0.98611,1,0.0304,0.000343889,0.000343889,0.000343889
39,242.569,0.05626,0.99537,1,0.01634,0.000340886,0.000340886,0.000340886
40,248.787,0.05917,0.99074,1,0.01976,0.000337883,0.000337883,0.000337883
41,255.002,0.03182,0.99537,1,0.01608,0.00033488,0.00033488,0.00033488
42,261.224,0.06589,1,1,0.00603,0.000331877,0.000331877,0.000331877
43,267.51,0.07184,0.99537,1,0.00832,0.000328874,0.000328874,0.000328874
44,273.708,0.03891,0.99537,1,0.01564,0.000325871,0.000325871,0.000325871
45,279.96,0.04929,0.99074,1,0.01941,0.000322868,0.000322868,0.000322868
46,286.183,0.03337,0.99074,1,0.01732,0.000319865,0.000319865,0.000319865
47,292.553,0.04748,0.98611,1,0.02141,0.000316862,0.000316862,0.000316862
48,298.771,0.02332,0.99074,1,0.01286,0.000313859,0.000313859,0.000313859
49,305.003,0.04537,0.99537,1,0.01537,0.000310856,0.000310856,0.000310856
50,311.212,0.03381,0.99537,1,0.02255,0.000307853,0.000307853,0.000307853
51,317.428,0.03293,0.99537,1,0.0157,0.00030485,0.00030485,0.00030485
52,323.629,0.03976,0.99537,1,0.01187,0.000301847,0.000301847,0.000301847
53,329.816,0.02358,0.99537,1,0.00987,0.000298844,0.000298844,0.000298844
54,335.979,0.04787,1,1,0.00297,0.000295841,0.000295841,0.000295841
55,342.274,0.02428,1,1,0.00496,0.000292838,0.000292838,0.000292838
56,348.563,0.05544,1,1,0.00865,0.000289835,0.000289835,0.000289835
57,354.913,0.04645,0.99074,1,0.01932,0.000286832,0.000286832,0.000286832
58,361.193,0.02841,0.98611,1,0.03638,0.000283829,0.000283829,0.000283829
59,367.444,0.06282,0.98611,1,0.01941,0.000280826,0.000280826,0.000280826
60,373.648,0.02954,1,1,0.00825,0.000277823,0.000277823,0.000277823
61,379.837,0.0341,1,1,0.00716,0.00027482,0.00027482,0.00027482
62,386.102,0.02114,0.98611,1,0.02289,0.000271817,0.000271817,0.000271817
63,392.326,0.03515,0.98611,1,0.0197,0.000268814,0.000268814,0.000268814
64,398.497,0.0305,0.97685,1,0.04651,0.000265811,0.000265811,0.000265811
65,404.668,0.01974,0.97222,1,0.0545,0.000262808,0.000262808,0.000262808
66,410.865,0.04689,0.97222,1,0.0473,0.000259805,0.000259805,0.000259805
67,416.97,0.0175,0.98611,1,0.02248,0.000256802,0.000256802,0.000256802
68,423.244,0.02473,1,1,0.00492,0.000253799,0.000253799,0.000253799
69,429.52,0.0234,1,1,0.00298,0.000250796,0.000250796,0.000250796
70,435.787,0.01482,1,1,0.00247,0.000247793,0.000247793,0.000247793
71,442.01,0.01392,1,1,0.00239,0.00024479,0.00024479,0.00024479
72,448.246,0.03813,1,1,0.00272,0.000241787,0.000241787,0.000241787
73,454.49,0.01393,1,1,0.00679,0.000238784,0.000238784,0.000238784
74,460.756,0.01722,1,1,0.00595,0.000235781,0.000235781,0.000235781
