epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.44372,2.90638,0.05556,0.31481,2.88867,2.275e-05,2.275e-05,2.275e-05
2,11.7586,2.86334,0.09259,0.40741,2.81445,4.97197e-05,4.97197e-05,4.97197e-05
3,18.3597,2.77338,0.1713,0.64815,2.66602,7.6329e-05,7.6329e-05,7.6329e-05
4,24.7655,2.62803,0.46759,0.83796,2.45703,0.000102578,0.000102578,0.000102578
5,31.0705,2.45522,0.67593,0.94444,2.17188,0.000128467,0.000128467,0.000128467
6,37.4153,2.22245,0.73148,0.96296,1.79492,0.000153995,0.000153995,0.000153995
7,43.7397,1.9091,0.77778,0.97222,1.36621,0.000179163,0.000179163,0.000179163
8,50.0527,1.58611,0.82407,0.98148,0.98486,0.00020397,0.00020397,0.00020397
9,56.3451,1.19386,0.87963,0.98611,0.61914,0.000228417,0.000228417,0.000228417
10,62.6923,0.85505,0.89352,0.99537,0.40381,0.000252504,0.000252504,0.000252504
11,68.9774,0.59215,0.93981,0.99537,0.23706,0.00027623,0.00027623,0.00027623
12,75.2697,0.4493,0.94907,0.99537,0.16602,0.000299597,0.000299597,0.000299597
13,81.6381,0.33993,0.96759,1,0.10339,0.000322602,0.000322602,0.000322602
14,88.0227,0.25606,0.97222,1,0.0744,0.000345248,0.000345248,0.000345248
15,94.3255,0.1902,0.98611,1,0.06097,0.000367533,0.000367533,0.000367533
16,100.643,0.15557,0.99537,1,0.04675,0.000389457,0.000389457,0.000389457
17,107.014,0.15995,0.97222,1,0.07123,0.000406952,0.000406952,0.000406952
18,113.235,0.1481,0.96759,1,0.1214,0.000403949,0.000403949,0.000403949
19,119.506,0.11584,0.98148,1,0.07037,0.000400946,0.000400946,0.000400946
20,125.696,0.11513,0.98611,1,0.0567,0.000397943,0.000397943,0.000397943
21,131.941,0.08399,0.97685,1,0.05823,0.00039494,0.00039494,0.00039494
22,138.141,0.105,0.98611,1,0.05273,0.000391937,0.000391937,0.000391937
23,144.367,0.07505,0.99074,1,0.02849,0.000388934,0.000388934,0.000388934
24,150.773,0.0888,0.98611,1,0.04184,0.000385931,0.000385931,0.000385931
25,157.074,0.08027,0.99537,1,0.01794,0.000382928,0.000382928,0.000382928
26,163.35,0.09245,0.98611,1,0.04709,0.000379925,0.000379925,0.000379925
27,169.525,0.11192,0.95833,1,0.08307,0.000376922,0.000376922,0.000376922
28,175.674,0.07029,0.98611,1,0.04623,0.000373919,0.000373919,0.000373919
29,181.878,0.05078,0.99074,1,0.03375,0.000370916,0.000370916,0.000370916
30,188.145,0.0738,0.98148,1,0.03848,0.000367913,0.000367913,0.000367913
31,194.449,0.07186,0.98611,1,0.03729,0.00036491,0.00036491,0.00036491
32,200.697,0.09029,0.99074,1,0.03391,0.000361907,0.000361907,0.000361907
33,206.976,0.07664,0.99074,1,0.02478,0.000358904,0.000358904,0.000358904
34,213.254,0.05065,1,1,0.00877,0.000355901,0.000355901,0.000355901
35,219.699,0.05076,0.99537,1,0.0127,0.000352898,0.000352898,0.000352898
36,225.936,0.04993,0.98611,1,0.02371,0.000349895,0.000349895,0.000349895
37,232.189,0.05526,0.98611,1,0.04593,0.000346892,0.000346892,0.000346892
38,238.469,0.03286,0.99074,1,0.04153,0.000343889,0.000343889,0.000343889
39,244.709,0.04453,0.98611,1,0.0419,0.000340886,0.000340886,0.000340886
40,251.008,0.03545,0.99074,1,0.04724,0.000337883,0.000337883,0.000337883
41,257.239,0.03021,0.99074,1,0.02882,0.00033488,0.00033488,0.00033488
42,263.429,0.02292,0.99537,1,0.01291,0.000331877,0.000331877,0.000331877
43,269.683,0.04243,1,1,0.00738,0.000328874,0.000328874,0.000328874
44,276.016,0.05613,1,1,0.00936,0.000325871,0.000325871,0.000325871
45,282.498,0.02311,0.99074,1,0.02031,0.000322868,0.000322868,0.000322868
46,288.754,0.03372,0.99074,1,0.01462,0.000319865,0.000319865,0.000319865
47,294.933,0.03182,0.99537,1,0.01427,0.000316862,0.000316862,0.000316862
48,301.193,0.02616,0.99537,1,0.01384,0.000313859,0.000313859,0.000313859
49,307.427,0.04436,0.99537,1,0.01152,0.000310856,0.000310856,0.000310856
50,313.773,0.02039,0.99537,1,0.01373,0.000307853,0.000307853,0.000307853
51,320.07,0.03313,0.98148,1,0.02153,0.00030485,0.00030485,0.00030485
52,326.274,0.03786,0.98611,1,0.02191,0.000301847,0.000301847,0.000301847
53,332.475,0.02806,0.99537,1,0.01184,0.000298844,0.000298844,0.000298844
54,338.787,0.04244,0.99074,1,0.01531,0.000295841,0.000295841,0.000295841
55,345.131,0.02791,0.99537,1,0.01569,0.000292838,0.000292838,0.000292838
56,351.497,0.0348,0.99074,1,0.02057,0.000289835,0.000289835,0.000289835
57,357.692,0.03019,0.99537,1,0.01559,0.000286832,0.000286832,0.000286832
58,363.977,0.02993,0.99537,1,0.01562,0.000283829,0.000283829,0.000283829
59,370.232,0.04664,0.99537,1,0.01843,0.000280826,0.000280826,0.000280826
60,376.508,0.01817,0.99537,1,0.01805,0.000277823,0.000277823,0.000277823
61,382.693,0.02014,0.99537,1,0.01323,0.00027482,0.00027482,0.00027482
62,388.887,0.03141,0.99537,1,0.00647,0.000271817,0.000271817,0.000271817
63,395.202,0.0384,1,1,0.00632,0.000268814,0.000268814,0.000268814
64,401.596,0.04337,1,1,0.00278,0.000265811,0.000265811,0.000265811
65,407.911,0.0317,1,1,0.00491,0.000262808,0.000262808,0.000262808
66,414.332,0.03458,1,1,0.00837,0.000259805,0.000259805,0.000259805
67,420.71,0.03848,1,1,0.00803,0.000256802,0.000256802,0.000256802
68,427.076,0.02305,1,1,0.00803,0.000253799,0.000253799,0.000253799
69,433.39,0.04182,0.99074,1,0.02042,0.000250796,0.000250796,0.000250796
70,439.654,0.01252,0.99074,1,0.02521,0.000247793,0.000247793,0.000247793
71,445.861,0.01709,0.99074,1,0.00919,0.00024479,0.00024479,0.00024479
72,452.097,0.03428,1,1,0.0045,0.000241787,0.000241787,0.000241787
73,458.429,0.02029,1,1,0.00497,0.000238784,0.000238784,0.000238784
74,464.771,0.02499,1,1,0.0079,0.000235781,0.000235781,0.000235781
75,471.073,0.02487,1,1,0.00937,0.000232778,0.000232778,0.000232778
76,477.453,0.03164,0.99537,1,0.00942,0.000229775,0.000229775,0.000229775
77,483.862,0.02297,1,1,0.01069,0.000226772,0.000226772,0.000226772
78,490.342,0.0153,1,1,0.01129,0.000223769,0.000223769,0.000223769
79,496.747,0.03275,1,1,0.00755,0.000220766,0.000220766,0.000220766
80,503.103,0.032,1,1,0.00668,0.000217763,0.000217763,0.000217763
81,509.403,0.02785,0.99537,1,0.01486,0.00021476,0.00021476,0.00021476
82,515.633,0.03892,0.99537,1,0.0174,0.000211757,0.000211757,0.000211757
83,521.854,0.01211,1,1,0.00649,0.000208754,0.000208754,0.000208754
84,528.145,0.04425,0.99537,1,0.00721,0.000205751,0.000205751,0.000205751
