epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.45117,2.95852,0.04167,0.28704,2.89648,2.275e-05,2.275e-05,2.275e-05
2,11.6833,2.90251,0.06944,0.38889,2.82422,4.97197e-05,4.97197e-05,4.97197e-05
3,17.9813,2.79432,0.21759,0.625,2.66797,7.6329e-05,7.6329e-05,7.6329e-05
4,24.233,2.63301,0.43056,0.82407,2.41992,0.000102578,0.000102578,0.000102578
5,30.5168,2.43336,0.68519,0.93981,2.10742,0.000128467,0.000128467,0.000128467
6,36.8229,2.13832,0.81944,0.97222,1.78516,0.000153995,0.000153995,0.000153995
7,43.1254,1.83911,0.85648,0.99537,1.34082,0.000179163,0.000179163,0.000179163
8,49.4565,1.44433,0.91667,1,0.88086,0.00020397,0.00020397,0.00020397
9,55.5853,1.044,0.92593,1,0.52295,0.000228417,0.000228417,0.000228417
10,61.7428,0.6703,0.94444,1,0.29517,0.000252504,0.000252504,0.000252504
11,67.8653,0.42026,0.9537,1,0.18469,0.00027623,0.00027623,0.00027623
12,74.0432,0.23806,0.96759,1,0.13586,0.000299597,0.000299597,0.000299597
13,80.1372,0.15986,0.96759,1,0.1012,0.000322602,0.000322602,0.000322602
14,86.2561,0.12461,0.97685,1,0.07648,0.000345248,0.000345248,0.000345248
15,92.371,0.09428,0.98148,1,0.05603,0.000367533,0.000367533,0.000367533
16,98.5408,0.08864,0.98148,1,0.05029,0.000389457,0.000389457,0.000389457
17,104.712,0.08597,0.98611,1,0.05786,0.000406952,0.000406952,0.000406952
18,110.798,0.06937,0.98148,1,0.07458,0.000403949,0.000403949,0.000403949
19,116.839,0.04918,0.97685,1,0.07104,0.000400946,0.000400946,0.000400946
20,122.979,0.05669,0.98611,1,0.05154,0.000397943,0.000397943,0.000397943
21,129.133,0.0672,0.99074,1,0.03928,0.00039494,0.00039494,0.00039494
22,135.262,0.05197,0.98611,1,0.04724,0.000391937,0.000391937,0.000391937
23,141.544,0.03228,0.98611,1,0.0517,0.000388934,0.000388934,0.000388934
24,147.633,0.02321,0.98611,1,0.0499,0.000385931,0.000385931,0.000385931
25,153.616,0.04096,0.98148,1,0.0528,0.000382928,0.000382928,0.000382928
26,159.611,0.02607,0.99074,1,0.04492,0.000379925,0.000379925,0.000379925
27,165.656,0.03193,0.99074,1,0.04694,0.000376922,0.000376922,0.000376922
28,171.741,0.03083,0.99074,1,0.04138,0.000373919,0.000373919,0.000373919
29,177.83,0.01571,0.98611,1,0.04044,0.000370916,0.000370916,0.000370916
30,183.852,0.02277,0.98611,1,0.03946,0.000367913,0.000367913,0.000367913
31,189.875,0.01729,0.98611,1,0.04633,0.00036491,0.00036491,0.00036491
32,195.849,0.02865,0.98611,1,0.05594,0.000361907,0.000361907,0.000361907
33,201.776,0.03237,0.98611,1,0.05643,0.000358904,0.000358904,0.000358904
34,207.961,0.01519,0.98148,1,0.06866,0.000355901,0.000355901,0.000355901
35,213.955,0.0449,0.98611,1,0.03723,0.000352898,0.000352898,0.000352898
36,219.92,0.03246,0.99074,1,0.03912,0.000349895,0.000349895,0.000349895
37,226.01,0.01624,0.99074,1,0.03839,0.000346892,0.000346892,0.000346892
38,232.076,0.02832,0.98611,1,0.04724,0.000343889,0.000343889,0.000343889
39,238.052,0.01733,0.98611,1,0.05112,0.000340886,0.000340886,0.000340886
40,244.041,0.03187,0.99074,0.99537,0.05756,0.000337883,0.000337883,0.000337883
41,250.017,0.01654,0.99074,0.99537,0.05682,0.00033488,0.00033488,0.00033488
42,255.996,0.02224,0.98611,0.99537,0.0592,0.000331877,0.000331877,0.000331877
43,261.961,0.01513,0.98148,0.99537,0.06573,0.000328874,0.000328874,0.000328874
44,267.871,0.02336,0.98611,1,0.07031,0.000325871,0.000325871,0.000325871
45,273.897,0.01261,0.98611,1,0.0755,0.000322868,0.000322868,0.000322868
46,279.901,0.01291,0.98611,1,0.0582,0.000319865,0.000319865,0.000319865
47,285.863,0.01726,0.98611,1,0.04947,0.000316862,0.000316862,0.000316862
48,291.837,0.01769,0.97222,1,0.11493,0.000313859,0.000313859,0.000313859
49,297.855,0.0393,0.97685,1,0.08716,0.000310856,0.000310856,0.000310856
50,303.839,0.0284,0.98148,1,0.08447,0.000307853,0.000307853,0.000307853
51,309.845,0.03794,0.98611,1,0.06787,0.00030485,0.00030485,0.00030485
52,315.863,0.02352,0.98148,1,0.08356,0.000301847,0.000301847,0.000301847
53,321.838,0.03215,0.98148,1,0.11255,0.000298844,0.000298844,0.000298844
54,327.87,0.02781,0.98148,0.99537,0.08533,0.000295841,0.000295841,0.000295841
55,333.919,0.01417,0.98148,0.99537,0.10626,0.000292838,0.000292838,0.000292838
56,340.103,0.02876,0.97685,0.99537,0.07178,0.000289835,0.000289835,0.000289835
57,346.119,0.01665,0.98148,1,0.05371,0.000286832,0.000286832,0.000286832
58,352.122,0.00956,0.98611,1,0.04831,0.000283829,0.000283829,0.000283829
59,358.09,0.02199,0.98611,1,0.04449,0.000280826,0.000280826,0.000280826
60,364.11,0.01168,0.98611,1,0.03745,0.000277823,0.000277823,0.000277823
61,370.083,0.01223,0.98611,1,0.03397,0.00027482,0.00027482,0.00027482
62,376.108,0.004,0.99074,1,0.02321,0.000271817,0.000271817,0.000271817
63,382.203,0.00513,0.99074,1,0.02834,0.000268814,0.000268814,0.000268814
64,388.307,0.01242,0.99537,1,0.02657,0.000265811,0.000265811,0.000265811
65,394.4,0.02993,0.99537,1,0.02846,0.000262808,0.000262808,0.000262808
66,400.429,0.00732,0.99537,1,0.03128,0.000259805,0.000259805,0.000259805
67,406.64,0.01385,0.99537,1,0.03745,0.000256802,0.000256802,0.000256802
68,412.774,0.01725,0.99537,1,0.0419,0.000253799,0.000253799,0.000253799
69,418.894,0.01878,0.98611,1,0.04968,0.000250796,0.000250796,0.000250796
70,424.973,0.01591,0.99074,1,0.05441,0.000247793,0.000247793,0.000247793
71,430.938,0.00688,0.99074,1,0.05511,0.00024479,0.00024479,0.00024479
72,436.942,0.01013,0.99074,1,0.05533,0.000241787,0.000241787,0.000241787
73,442.967,0.00767,0.99074,1,0.04712,0.000238784,0.000238784,0.000238784
74,448.911,0.00615,0.98611,1,0.04395,0.000235781,0.000235781,0.000235781
75,454.893,0.00336,0.99074,1,0.04391,0.000232778,0.000232778,0.000232778
76,460.887,0.01987,0.99074,1,0.04541,0.000229775,0.000229775,0.000229775
77,466.877,0.00232,0.99074,1,0.0528,0.000226772,0.000226772,0.000226772
78,473.011,0.02222,0.98611,1,0.05377,0.000223769,0.000223769,0.000223769
79,479.066,0.02259,0.98611,1,0.05173,0.000220766,0.000220766,0.000220766
80,485.13,0.01093,0.98611,1,0.05164,0.000217763,0.000217763,0.000217763
81,491.114,0.02236,0.98611,1,0.04205,0.00021476,0.00021476,0.00021476
82,497.023,0.00835,0.99074,1,0.03232,0.000211757,0.000211757,0.000211757
83,503.041,0.00362,0.99074,1,0.02528,0.000208754,0.000208754,0.000208754
84,509.016,0.00765,0.99074,1,0.02718,0.000205751,0.000205751,0.000205751
85,514.899,0.01862,0.99074,1,0.03558,0.000202748,0.000202748,0.000202748
86,520.878,0.01493,0.99074,1,0.03854,0.000199745,0.000199745,0.000199745
87,526.879,0.00638,0.99074,1,0.03915,0.000196742,0.000196742,0.000196742
88,532.86,0.01207,0.99074,1,0.04068,0.000193739,0.000193739,0.000193739
89,538.997,0.01205,0.99074,1,0.03793,0.000190736,0.000190736,0.000190736
90,545.036,0.00515,0.99074,1,0.0372,0.000187733,0.000187733,0.000187733
91,551.029,0.01929,0.99074,1,0.04117,0.00018473,0.00018473,0.00018473
92,557.017,0.00979,0.99074,1,0.04263,0.000181727,0.000181727,0.000181727
93,563.006,0.02114,0.99074,1,0.04514,0.000178724,0.000178724,0.000178724
94,568.977,0.01774,0.99074,1,0.04276,0.000175721,0.000175721,0.000175721
95,575.061,0.00767,0.99074,1,0.04218,0.000172718,0.000172718,0.000172718
96,581.064,0.00729,0.99074,1,0.04221,0.000169715,0.000169715,0.000169715
97,587.028,0.01194,0.99074,1,0.04224,0.000166712,0.000166712,0.000166712
98,592.952,0.01874,0.99074,1,0.04004,0.000163709,0.000163709,0.000163709
99,598.884,0.01041,0.99074,1,0.03775,0.000160706,0.000160706,0.000160706
100,605.136,0.0108,0.99074,1,0.03699,0.000157703,0.000157703,0.000157703
101,611.214,0.00525,0.99074,1,0.04309,0.0001547,0.0001547,0.0001547
102,617.217,0.02702,0.98611,1,0.04813,0.000151697,0.000151697,0.000151697
103,623.159,0.01048,0.99074,1,0.04752,0.000148694,0.000148694,0.000148694
104,629.124,0.0135,0.99074,1,0.04459,0.000145691,0.000145691,0.000145691
105,635.132,0.00228,0.99074,1,0.04556,0.000142688,0.000142688,0.000142688
106,641.095,0.01005,0.99074,1,0.04807,0.000139685,0.000139685,0.000139685
107,647.1,0.00593,0.99074,1,0.04752,0.000136682,0.000136682,0.000136682
108,653.079,0.00758,0.99074,1,0.05038,0.000133679,0.000133679,0.000133679
109,659.046,0.00392,0.99074,1,0.05225,0.000130676,0.000130676,0.000130676
110,664.987,0.00864,0.99074,1,0.05167,0.000127673,0.000127673,0.000127673
111,671.051,0.00655,0.99074,1,0.05469,0.00012467,0.00012467,0.00012467
112,677.099,0.00149,0.99074,1,0.0571,0.000121667,0.000121667,0.000121667
113,683.045,0.00336,0.99074,1,0.05826,0.000118664,0.000118664,0.000118664
114,689.066,0.03538,0.99074,1,0.06018,0.000115661,0.000115661,0.000115661
