epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.47057,2.96231,0.03241,0.31944,2.91211,2.275e-05,2.275e-05,2.275e-05
2,11.7551,2.8985,0.04167,0.41204,2.83594,4.97197e-05,4.97197e-05,4.97197e-05
3,18.289,2.79019,0.19444,0.61574,2.67383,7.6329e-05,7.6329e-05,7.6329e-05
4,24.7611,2.62587,0.4537,0.80556,2.43359,0.000102578,0.000102578,0.000102578
5,31.1949,2.41688,0.66667,0.93519,2.12109,0.000128467,0.000128467,0.000128467
6,37.7403,2.12887,0.81019,0.98148,1.79297,0.000153995,0.000153995,0.000153995
7,44.1639,1.84235,0.87037,0.99537,1.35547,0.000179163,0.000179163,0.000179163
8,50.6305,1.44372,0.88889,1,0.89355,0.00020397,0.00020397,0.00020397
9,57.0835,1.02489,0.9213,1,0.53223,0.000228417,0.000228417,0.000228417
10,63.6259,0.66746,0.93981,1,0.28247,0.000252504,0.000252504,0.000252504
11,70.061,0.3807,0.95833,1,0.17712,0.00027623,0.00027623,0.00027623
12,76.5151,0.23515,0.97222,1,0.13293,0.000299597,0.000299597,0.000299597
13,83.0489,0.17195,0.97222,1,0.09766,0.000322602,0.000322602,0.000322602
14,89.5105,0.13397,0.98611,1,0.06677,0.000345248,0.000345248,0.000345248
15,95.9946,0.08594,0.98611,1,0.05255,0.000367533,0.000367533,0.000367533
16,102.601,0.05533,0.98148,1,0.05646,0.000389457,0.000389457,0.000389457
17,108.972,0.05945,0.98148,1,0.04404,0.000406952,0.000406952,0.000406952
18,115.397,0.07694,0.98611,1,0.03622,0.000403949,0.000403949,0.000403949
19,121.824,0.04187,0.98611,1,0.04712,0.000400946,0.000400946,0.000400946
20,128.27,0.04165,0.98611,1,0.05023,0.000397943,0.000397943,0.000397943
21,134.809,0.07161,0.98611,1,0.04333,0.00039494,0.00039494,0.00039494
22,141.252,0.04603,0.99074,1,0.04733,0.000391937,0.000391937,0.000391937
23,147.684,0.03965,0.99074,1,0.04123,0.000388934,0.000388934,0.000388934
24,154.04,0.03517,0.99074,1,0.02724,0.000385931,0.000385931,0.000385931
25,160.366,0.04098,0.98611,1,0.0322,0.000382928,0.000382928,0.000382928
26,166.726,0.02452,0.99074,1,0.03491,0.000379925,0.000379925,0.000379925
27,173.305,0.03168,0.99537,1,0.03339,0.000376922,0.000376922,0.000376922
28,179.712,0.04833,0.99074,1,0.02827,0.000373919,0.000373919,0.000373919
29,186.117,0.02026,0.99074,1,0.01805,0.000370916,0.000370916,0.000370916
30,192.601,0.03554,1,1,0.00725,0.000367913,0.000367913,0.000367913
31,199.032,0.05813,0.99537,1,0.01304,0.00036491,0.00036491,0.00036491
32,205.362,0.03943,1,1,0.01272,0.000361907,0.000361907,0.000361907
33,211.776,0.0544,0.99537,1,0.01768,0.000358904,0.000358904,0.000358904
34,218.113,0.02895,0.99537,1,0.02483,0.000355901,0.000355901,0.000355901
35,224.409,0.02543,0.99537,1,0.02452,0.000352898,0.000352898,0.000352898
36,230.805,0.02062,0.99537,1,0.02501,0.000349895,0.000349895,0.000349895
37,237.29,0.01367,0.99537,1,0.02837,0.000346892,0.000346892,0.000346892
38,243.691,0.02988,0.99074,1,0.02821,0.000343889,0.000343889,0.000343889
39,250.09,0.02213,0.99074,1,0.0251,0.000340886,0.000340886,0.000340886
40,256.495,0.02951,0.99074,1,0.0296,0.000337883,0.000337883,0.000337883
